precinct_county_nce,precinct_county_name,precinct_name,precinct_nr,uat_name,uat_siruta,report_version,report_stage_code,report_type_scope_code,report_type_category_code,report_type_code,created_at,a,a1,a2,a3,a4,b,b1,b2,b3,b4,c,d,e,f,"COMUNITATEA RUȘILOR LIPOVENI DIN ROMÂNIA-voturi","PARTIDUL NAȚIONAL LIBERAL-voturi","ALIANȚA PENTRU UNIREA ROMÂNILOR-voturi","PARTIDUL SOCIAL DEMOCRAT-voturi","ALIANȚA DREAPTA UNITĂ USR - PMP-voturi","PARTIDUL S.O.S. ROMÂNIA-voturi"
35,SUCEAVA,"CĂMINUL CULTURAL BAINEŢ",407,MUŞENIŢA,149584,1,PART,PRCNCT,CL,CL_SV,"2024-06-10 01:45:38",232,219,0,6,7,116,103,0,6,7,113,3,300,184,7,52,7,17,24,6
35,SUCEAVA,"CĂMINUL CULTURAL CLIMĂUŢI",408,MUŞENIŢA,149584,1,PART,PRCNCT,CL,CL_SV,"2024-06-10 02:16:21",269,246,0,7,16,132,109,0,7,16,121,11,300,168,68,22,2,8,3,18
35,SUCEAVA,"CĂMINUL CULTURAL VĂŞCĂUŢI",410,MUŞENIŢA,149584,1,PART,PRCNCT,CL,CL_SV,"2024-06-10 05:38:49",505,482,1,8,14,280,258,0,8,14,265,15,536,256,4,174,33,22,19,13
35,SUCEAVA,"CLĂDIREA ”DOM POLSKI” VICŞANI",411,MUŞENIŢA,149584,1,PART,PRCNCT,CL,CL_SV,"2024-06-10 01:23:04",182,170,1,5,6,116,104,1,5,6,111,5,200,84,3,69,6,18,6,9
35,SUCEAVA,"ŞCOALA CU CL.I-IV MUŞENIŢA",409,MUŞENIŢA,149584,1,PART,PRCNCT,CL,CL_SV,"2024-06-10 04:17:34",297,275,0,11,11,175,153,0,11,11,171,4,300,125,2,93,18,26,9,23
