precinct_county_nce,precinct_county_name,precinct_name,precinct_nr,uat_name,uat_siruta,report_version,report_stage_code,report_type_scope_code,report_type_category_code,report_type_code,created_at,a,a1,a2,a3,a4,b,b1,b2,b3,b4,c,d,e,f,"CIOBOTARU DRAGOŞ-FĂNICĂ-PARTIDUL NAȚIONAL LIBERAL-voturi","HALICI NICUŞOR-PARTIDUL SOCIAL DEMOCRAT-voturi","BADIU GEORGEL-ALIANȚA PENTRU UNIREA ROMÂNILOR-voturi","ŞTEFAN ION-ALIANȚA DREAPTA UNITĂ USR - PMP - FORȚA DREPTEI-voturi","ROMAN VICTOR-PARTIDUL UMANIST SOCIAL LIBERAL-voturi","VASILIU CARMEN-PARTIDUL S.O.S. ROMÂNIA-voturi"
41,VRANCEA,"AGENŢIA JUDEŢEANĂ PENTRU PLĂŢI ŞI INSPECŢIE SOCIALĂ",33,"MUNICIPIUL FOCŞANI",174744,1,PROV,PRCNCT,PCJ,PCJ_SV,"2024-06-10 11:54:16",1393,1384,0,9,0,541,532,0,9,0,520,21,1528,987,189,167,47,90,6,21
41,VRANCEA,"AȘEZĂMÂNT CULTURAL",344,VINTILEASCA,178475,1,PROV,PRCNCT,PCJ,PCJ_SV,"2024-06-10 02:25:05",627,591,0,21,15,383,347,0,21,15,363,20,650,267,71,260,20,8,2,2
41,VRANCEA,"ATENEUL POPULAR „MAIOR GHEORGHE PASTIA” FOCȘANI",3,"MUNICIPIUL FOCŞANI",174744,1,PROV,PRCNCT,PCJ,PCJ_SV,"2024-06-10 06:49:12",637,623,0,14,0,637,623,0,14,0,611,26,1540,903,240,193,54,87,14,23
41,VRANCEA,"BIBLIOTECA ORĂȘENEASCĂ ”ANA GEORGESCU”",85,"ORAŞ ODOBEŞTI",175019,1,PROV,PRCNCT,PCJ,PCJ_SV,"2024-06-10 03:03:18",1453,1437,4,4,8,758,746,0,4,8,735,23,1617,859,175,419,61,56,6,18
41,VRANCEA,"CAMIN CULTURAL",119,BROŞTENI,175466,1,PROV,PRCNCT,PCJ,PCJ_SV,"2024-06-10 15:50:05",1371,1358,3,6,4,806,795,1,6,4,773,33,1495,689,337,294,65,47,6,24
41,VRANCEA,"CAMIN CULTURAL",291,STRĂOANE,177799,1,PROV,PRCNCT,PCJ,PCJ_SV,"2024-06-10 05:37:20",771,766,0,4,1,426,421,0,4,1,411,15,841,415,65,209,73,50,2,12
41,VRANCEA,"CĂMIN CULTURAL",128,CÂRLIGELE,175732,1,PROV,PRCNCT,PCJ,PCJ_SV,"2024-06-10 04:31:57",1139,1108,0,6,25,574,543,0,6,25,547,27,1217,636,85,347,54,40,2,19
41,VRANCEA,"CĂMIN CULTURAL",107,BILIEŞTI,178929,1,PROV,PRCNCT,PCJ,PCJ_SV,"2024-06-10 17:35:19",1071,1047,1,17,6,623,600,0,17,6,594,29,1157,534,323,183,22,42,5,19
41,VRANCEA,"CĂMIN CULTURAL",106,BILIEŞTI,178929,1,PROV,PRCNCT,PCJ,PCJ_SV,"2024-06-10 20:22:20",1025,994,2,22,7,592,563,0,22,7,570,22,1108,516,282,192,32,45,8,11
41,VRANCEA,"CAMIN CULTURAL CALIENII-VECHI",224,NĂNEŞTI,176855,1,PROV,PRCNCT,PCJ,PCJ_SV,"2024-06-10 06:17:57",544,507,0,7,30,269,232,0,7,30,257,12,554,285,54,152,7,39,1,4
41,VRANCEA,"CAMIN CULTURAL CIORASTI",136,CIORĂŞTI,175590,1,PROV,PRCNCT,PCJ,PCJ_SV,"2024-06-10 07:27:57",655,647,0,1,7,327,319,0,1,7,302,25,714,386,213,39,29,6,4,11
41,VRANCEA,"CAMIN CULTURAL DUMBRAVENI",152,DUMBRĂVENI,175938,1,PROV,PRCNCT,PCJ,PCJ_SV,"2024-06-10 06:52:40",1662,1641,1,8,12,925,905,0,8,12,870,55,1814,889,271,447,67,55,5,25
