precinct_county_nce,precinct_county_name,precinct_name,precinct_nr,uat_name,uat_siruta,report_version,report_stage_code,report_type_scope_code,report_type_category_code,report_type_code,created_at,a,a1,a2,a3,a4,b,b1,b2,b3,b4,c,d,e,f,"COROAMĂ GHEORGHE-PARTIDUL NAȚIONAL LIBERAL-voturi","ZUBAŞ ORNELLA-DANIELA-PARTIDUL SOCIAL DEMOCRAT-voturi"
35,SUCEAVA,"CĂMINUL CULTURAL GURA PUTNEI",441,PUTNA,150043,1,PART,PRCNCT,P,P_SV,"2024-06-10 03:53:47",1103,1101,0,0,2,534,532,0,0,2,522,12,1200,666,414,108
35,SUCEAVA,"ȘCOALA GIMNAZIALĂ ”MITROPOLIT IACOB PUTNEANUL”- CORP B",440,PUTNA,150043,1,PART,PRCNCT,P,P_SV,"2024-06-10 03:22:42",887,877,1,1,8,417,408,0,1,8,407,10,1096,679,360,47
35,SUCEAVA,"ȘCOALA GIMNAZIALĂ ”MITROPOLIT IACOB PUTNEANUL”- CORP B",439,PUTNA,150043,1,PROV,PRCNCT,P,P_SV,"2024-06-10 03:41:17",1189,1177,2,2,8,620,609,1,2,8,593,27,1200,580,501,92
