precinct_county_nce,precinct_county_name,precinct_name,precinct_nr,uat_name,uat_siruta,report_version,report_stage_code,report_type_scope_code,report_type_category_code,report_type_code,created_at,a,a1,a2,a3,a4,b,b1,b2,b3,b4,c,d,e,f,"PARTIDUL SOCIAL DEMOCRAT-voturi","PARTIDUL NAȚIONAL LIBERAL-voturi","ALIANȚA PENTRU UNIREA ROMÂNILOR-voturi","ALIANȚA DREAPTA UNITĂ USR - PMP - FORȚA DREPTEI-voturi","PARTIDUL NAȚIONAL CONSERVATOR ROMÂN-voturi","CRÎŞMARIU GHEORGHE-voturi"
11,CARAŞ-SEVERIN,"CĂMINUL CULTURAL FIZEȘ",175,BERZOVIA,51500,1,PROV,PRCNCT,CL,CL_SV,"2024-06-10 04:58:07",614,602,0,11,1,313,301,0,11,1,302,11,662,349,35,124,69,74,0,0
11,CARAŞ-SEVERIN,"LICEUL TEHNOLOGIC BERZOVIA",173,BERZOVIA,51500,1,PART,PRCNCT,CL,CL_SV,"2024-06-10 11:08:57",906,874,1,23,8,481,449,1,23,8,464,17,967,486,110,229,41,81,1,2
11,CARAŞ-SEVERIN,"LICEUL TEHNOLOGIC BERZOVIA",174,BERZOVIA,51500,1,PROV,PRCNCT,CL,CL_SV,"2024-06-10 14:16:38",918,892,0,19,7,440,414,0,19,7,419,19,982,543,97,209,54,53,1,5
11,CARAŞ-SEVERIN,"ŞCOALA PRIMARA GHERTENIS",176,BERZOVIA,51500,1,PROV,PRCNCT,CL,CL_SV,"2024-06-10 06:41:16",824,779,1,21,23,521,477,0,21,23,506,15,859,338,59,38,364,21,24,0
