precinct_county_nce,precinct_county_name,precinct_name,precinct_nr,uat_name,uat_siruta,report_version,report_stage_code,report_type_scope_code,report_type_category_code,report_type_code,created_at,a,a1,a2,a3,a4,b,b1,b2,b3,b4,c,d,e,f,"UNIUNEA DEMOCRATĂ MAGHIARĂ DIN ROMÂNIA-voturi","UNIUNEA SALVAȚI ROMÂNIA-voturi","PARTIDUL NAȚIONAL LIBERAL-voturi","PARTIDUL SOCIAL DEMOCRAT-voturi","PARTIDUL S.O.S. ROMÂNIA-voturi"
33,SĂLAJ,"CENTRUL DE CONSULTANȚĂ AGRICOLĂ BOCȘA",92,BOCŞA,140324,2,PART,PRCNCT,CL,CL_SV,"2024-06-10 04:52:01",771,722,0,9,40,537,488,0,9,40,526,11,844,307,2,56,128,297,43
33,SĂLAJ,"ȘCOALA CU CLASELE I-IV CÎMPIA",94,BOCŞA,140324,2,PART,PRCNCT,CL,CL_SV,"2024-06-10 04:13:06",206,197,0,4,5,159,150,0,4,5,155,4,240,81,5,21,59,60,10
33,SĂLAJ,"ȘCOALA CU CLASELE I-IV SĂLĂJENI",95,BOCŞA,140324,1,PART,PRCNCT,CL,CL_SV,"2024-06-10 03:25:31",451,434,0,7,10,274,257,0,7,10,260,14,488,214,3,24,63,165,5
33,SĂLAJ,"ȘCOALA GIMNAZIALĂ NR.1 BORLA",93,BOCŞA,140324,2,PART,PRCNCT,CL,CL_SV,"2024-06-10 06:01:23",1281,1220,1,9,51,875,814,1,9,51,856,19,1380,505,760,7,11,74,4
