precinct_county_nce,precinct_county_name,precinct_name,precinct_nr,uat_name,uat_siruta,report_version,report_stage_code,report_type_scope_code,report_type_category_code,report_type_code,created_at,a,a1,a2,a3,a4,b,b1,b2,b3,b4,c,d,e,f,"PARTIDUL SOCIAL DEMOCRAT-voturi","ALIANȚA PENTRU UNIREA ROMÂNILOR-voturi","PARTIDUL NAȚIONAL LIBERAL-voturi","NEGREANU ION-voturi"
30,OLT,"CAMIN CULTURAL LELEASCA",238,LELEASCA,127411,1,PART,PRCNCT,CL,CL_SV,"2024-06-10 03:56:19",413,382,0,28,3,275,244,0,28,3,256,19,477,202,94,9,100,53
30,OLT,"CAMINUL CULTURAL URSI",240,LELEASCA,127411,2,PART,PRCNCT,CL,CL_SV,"2024-06-10 08:16:55",381,341,0,37,3,262,222,0,37,3,254,8,423,161,109,32,108,5
30,OLT,"SCOALA GENERALA TONESTI",239,LELEASCA,127411,2,PART,PRCNCT,CL,CL_SV,"2024-06-10 08:01:25",315,251,0,55,9,259,195,0,55,9,253,6,322,63,196,8,43,6
