precinct_county_nce,precinct_county_name,precinct_name,precinct_nr,uat_name,uat_siruta,report_version,report_stage_code,report_type_scope_code,report_type_category_code,report_type_code,created_at,a,a1,a2,a3,a4,b,b1,b2,b3,b4,c,d,e,f,"PARTIDUL NAȚIONAL LIBERAL-voturi","ALIANȚA PENTRU UNIREA ROMÂNILOR-voturi","PARTIDUL SOCIAL DEMOCRAT-voturi","PARTIDUL ROMÂNIA MARE-voturi","ALIANȚA DREAPTA UNITĂ USR - PMP - FORȚA DREPTEI-voturi","ALIANȚA NAȚIONAL CREȘTINĂ-voturi"
7,BOTOŞANI,"CĂMINUL CULTURAL VIIŞOARA",412,VIIŞOARA,39658,2,PART,PRCNCT,CL,CL_SV,"2024-06-10 09:51:15",646,609,1,8,28,421,384,1,8,28,412,9,731,310,68,86,182,29,30,17
7,BOTOŞANI,"ŞCOLA CU CLASELE I-IV CUZA VODĂ",413,VIIŞOARA,39658,1,PART,PRCNCT,CL,CL_SV,"2024-06-10 05:59:30",403,385,0,4,14,252,234,0,4,14,241,11,430,178,10,45,52,5,58,71
7,BOTOŞANI,"ŞCOLA CU CLASELE I-IV VIIŞOARA MICĂ",414,VIIŞOARA,39658,1,PART,PRCNCT,CL,CL_SV,"2024-06-10 05:59:58",363,354,0,4,5,202,193,0,4,5,194,7,400,199,33,47,87,14,12,1
