precinct_county_nce,precinct_county_name,precinct_name,precinct_nr,uat_name,uat_siruta,report_version,report_stage_code,report_type_scope_code,report_type_category_code,report_type_code,created_at,a,a1,a2,a3,a4,b,b1,b2,b3,b4,c,d,e,f,"OLARU IULIAN-CRISTIAN-PARTIDUL SOCIAL DEMOCRAT-voturi","POP NICULAE-IOAN-PARTIDUL NAȚIONAL LIBERAL-voturi","CRISTACHE NINA-ALIANȚA PENTRU UNIREA ROMÂNILOR-voturi"
37,TIMIŞ,"PRIMĂRIA VOITEG",615,VOITEG,159339,1,PART,PRCNCT,P,P_SV,"2024-06-10 05:27:20",1669,1611,17,24,17,953,904,8,24,17,905,48,1800,847,199,659,47
37,TIMIŞ,"ŞCOALA PRIMARĂ FOLEA",616,VOITEG,159339,1,PART,PRCNCT,P,P_SV,"2024-06-10 04:32:39",390,372,0,11,7,240,222,0,11,7,232,8,420,180,40,189,3
