precinct_county_nce,precinct_county_name,precinct_name,precinct_nr,uat_name,uat_siruta,report_version,report_stage_code,report_type_scope_code,report_type_category_code,report_type_code,created_at,a,a1,a2,a3,a4,b,b1,b2,b3,b4,c,d,e,f,"ZAHARIA MARIA-MAGDALENA-ALIANȚA PENTRU UNIREA ROMÂNILOR-voturi","STAN NICOLAE-PARTIDUL NAȚIONAL LIBERAL-voturi","GEANÎM MARIAN-PARTIDUL SOCIAL DEMOCRAT-voturi","ŞERBAN MAGDALENA-FORȚA DREPTEI-voturi"
36,TELEORMAN,"ŞCOALA GIMNAZIALĂ MAVRODIN",198,MAVRODIN,153204,1,PROV,PRCNCT,P,P_SV,"2024-06-10 09:11:34",908,872,0,27,9,685,649,0,27,9,669,16,950,265,7,387,252,23
36,TELEORMAN,"ŞCOALA GIMNAZIALĂ MAVRODIN",197,MAVRODIN,153204,1,PART,PRCNCT,P,P_SV,"2024-06-10 08:43:31",1080,1020,0,23,37,750,690,0,23,37,721,29,1116,366,15,491,199,16
