precinct_county_nce,precinct_county_name,precinct_name,precinct_nr,uat_name,uat_siruta,report_version,report_stage_code,report_type_scope_code,report_type_category_code,report_type_code,created_at,a,a1,a2,a3,a4,b,b1,b2,b3,b4,c,d,e,f,"DUD CĂLIN-DORIN-PARTIDUL NAȚIONAL LIBERAL-voturi","BENEA-LEBA RAMONA-MARIA-PARTIDUL SOCIAL DEMOCRAT-voturi"
22,HUNEDOARA,"CĂMINUL CULTURAL LUNCOIU DE JOS",396,"LUNCOIU DE JOS",90208,1,PART,PRCNCT,P,P_SV,"2024-06-10 10:01:30",841,810,1,10,20,594,564,0,10,20,574,20,924,330,375,199
22,HUNEDOARA,"CĂMINUL CULTURAL LUNCOIU DE SUS - MODUL CONTAINER",397,"LUNCOIU DE JOS",90208,1,PART,PRCNCT,P,P_SV,"2024-06-10 04:17:44",629,582,8,14,25,488,445,4,14,25,477,11,673,185,318,159
