precinct_county_nce,precinct_county_name,precinct_name,precinct_nr,uat_name,uat_siruta,report_version,report_stage_code,report_type_scope_code,report_type_category_code,report_type_code,created_at,a,a1,a2,a3,a4,b,b1,b2,b3,b4,c,d,e,f,"FILIP LIVIU-CONSTANTIN-ALIANȚA PENTRU UNIREA ROMÂNILOR-voturi","VELEŞCU ILIE-MARIAN-UNIUNEA SALVAȚI ROMÂNIA-voturi","PETRARU IONEL-PARTIDUL SOCIAL DEMOCRAT-voturi","VELEŞCU EMA-MARIA-PARTIDUL NAȚIONAL LIBERAL-voturi","MATEI PETRU-PARTIDUL UMANIST SOCIAL LIBERAL-voturi"
4,BACĂU,"ŞCOALA GIMNAZIALĂ NR.1 SATUL ROŞIORI",549,ROŞIORI,24999,1,PART,PRCNCT,P,P_SV,"2024-06-10 05:06:00",1049,1028,0,10,11,595,574,0,10,11,547,48,1100,505,115,11,238,60,123
4,BACĂU,"ŞCOALA PRIMARĂ SATUL POIENI",550,ROŞIORI,24999,1,PART,PRCNCT,P,P_SV,"2024-06-10 01:41:14",279,272,1,6,0,160,154,0,6,0,152,8,297,137,13,3,88,21,27
4,BACĂU,"ŞCOALA PRIMARĂ SATUL VALEA MARE",551,ROŞIORI,24999,1,PART,PRCNCT,P,P_SV,"2024-06-10 04:00:32",510,494,2,10,4,293,279,0,10,4,279,14,500,207,78,18,145,14,24
