precinct_county_nce,precinct_county_name,precinct_name,precinct_nr,uat_name,uat_siruta,report_version,report_stage_code,report_type_scope_code,report_type_category_code,report_type_code,created_at,a,a1,a2,a3,a4,b,b1,b2,b3,b4,c,d,e,f,"ALIANȚA PENTRU UNIREA ROMÂNILOR-voturi","PARTIDUL SOCIAL DEMOCRAT-voturi","PARTIDUL NAȚIONAL LIBERAL-voturi","UNIUNEA SALVAȚI ROMÂNIA-voturi","PARTIDUL PRO ROMÂNIA-voturi","ASOCIAȚIA PARTIDA ROMILOR ""PRO-EUROPA""-voturi","SACASTI-TIVADAR OCTAVIAN-VASILE-voturi","SILAGHI IOAN-voturi"
33,SĂLAJ,"GRĂDINIȚA BOBOTA",89,BOBOTA,140280,1,PART,PRCNCT,CL,CL_SV,"2024-06-10 06:53:03",1202,1149,2,26,25,754,703,0,26,25,723,31,1250,496,80,181,227,69,112,5,45,4
33,SĂLAJ,"ȘCOALA DERȘIDA",90,BOBOTA,140280,1,PART,PRCNCT,CL,CL_SV,"2024-06-10 10:05:12",1468,1427,1,24,16,834,794,0,24,16,764,70,1570,736,39,285,171,220,21,4,9,15
33,SĂLAJ,"ȘCOALA ZALNOC",91,BOBOTA,140280,1,PART,PRCNCT,CL,CL_SV,"2024-06-10 03:48:36",387,365,0,11,11,219,197,0,11,11,207,12,407,187,12,47,71,56,19,1,1,0
