precinct_county_nce,precinct_county_name,precinct_name,precinct_nr,uat_name,uat_siruta,report_version,report_stage_code,report_type_scope_code,report_type_category_code,report_type_code,created_at,a,a1,a2,a3,a4,b,b1,b2,b3,b4,c,d,e,f,"GABOR PETRU-PARTIDUL SOCIAL DEMOCRAT-voturi","ROŞU VASILE-VLĂDUŢ-PARTIDUL NAȚIONAL LIBERAL-voturi","CIOBANU CONSTANTIN-voturi"
29,NEAMŢ,"ANEXĂ ȘCOALA NEGREȘTI",183,BIRA,121386,1,PART,PRCNCT,P,P_SV,"2024-06-10 03:36:21",154,148,0,6,0,89,83,0,6,0,86,3,176,87,19,65,2
29,NEAMŢ,"CĂMINUL CULTURAL BIRA",182,BIRA,121386,1,PART,PRCNCT,P,P_SV,"2024-06-10 10:20:17",643,624,0,14,5,333,314,0,14,5,319,14,700,367,79,233,7
29,NEAMŢ,"ȘCOALA GIMNAZIALĂ ”ANTONIE MUREȘIANU”- GRĂDINIȚA",184,BIRA,121386,1,PART,PRCNCT,P,P_SV,"2024-06-10 03:18:25",555,541,0,7,7,320,306,0,7,7,307,13,589,269,171,127,9
29,NEAMŢ,"ȘCOALA REDIU 1",185,BIRA,121386,1,PART,PRCNCT,P,P_SV,"2024-06-10 01:40:11",234,224,0,4,6,138,130,0,2,6,132,6,260,122,52,74,6
