precinct_county_nce,precinct_county_name,precinct_name,precinct_nr,uat_name,uat_siruta,report_version,report_stage_code,report_type_scope_code,report_type_category_code,report_type_code,created_at,a,a1,a2,a3,a4,b,b1,b2,b3,b4,c,d,e,f,"BADEA LILIAN-PARTIDUL SOCIAL DEMOCRAT-voturi","COMAN MARIAN-ALIANȚA PENTRU UNIREA ROMÂNILOR-voturi"
23,IALOMIŢA,"SALĂ EDUCAȚIE FIZICĂ ȘCOLARĂ",184,OGRADA,179819,1,PART,PRCNCT,P,P_SV,"2024-06-10 04:27:27",1096,1074,0,1,21,525,503,0,1,21,509,16,1200,675,438,71
23,IALOMIŢA,"ȘCOALA GIMNAZIALĂ ”IONEL PERLEA” OGRADA",183,OGRADA,179819,1,PART,PRCNCT,P,P_SV,"2024-06-10 04:54:18",1179,1160,1,0,18,565,547,0,0,18,548,17,1308,743,475,73
