precinct_county_nce,precinct_county_name,precinct_name,precinct_nr,uat_name,uat_siruta,report_version,report_stage_code,report_type_scope_code,report_type_category_code,report_type_code,created_at,a,a1,a2,a3,a4,b,b1,b2,b3,b4,c,d,e,f,"UNIUNEA SALVAȚI ROMÂNIA-voturi","ASOCIAȚIA PARTIDA ROMILOR ""PRO-EUROPA""-voturi","SACASTI-TIVADAR OCTAVIAN-VASILE-voturi","SILAGHI IOAN-voturi","ALIANȚA PENTRU UNIREA ROMÂNILOR-voturi","PARTIDUL PRO ROMÂNIA-voturi","PARTIDUL NAȚIONAL LIBERAL-voturi","PARTIDUL SOCIAL DEMOCRAT-voturi"
33,SĂLAJ,"GRĂDINIȚA BOBOTA",89,BOBOTA,140280,2,PART,PRCNCT,CL,CL_SV,"2024-06-13 13:47:34",1177,1124,2,26,25,754,703,0,26,25,723,31,1250,496,69,5,45,4,80,112,227,181
33,SĂLAJ,"ȘCOALA DERȘIDA",90,BOBOTA,140280,2,PART,PRCNCT,CL,CL_SV,"2024-06-13 13:51:57",1452,1411,1,24,16,834,794,0,24,16,764,70,1570,736,220,4,9,15,39,21,171,285
33,SĂLAJ,"ȘCOALA ZALNOC",91,BOBOTA,140280,2,PART,PRCNCT,CL,CL_SV,"2024-06-13 13:56:45",378,356,0,11,11,219,197,0,11,11,207,12,407,187,56,1,1,0,12,19,71,47
