precinct_county_nce,precinct_county_name,precinct_name,precinct_nr,uat_name,uat_siruta,report_version,report_stage_code,report_type_scope_code,report_type_category_code,report_type_code,created_at,a,a1,a2,a3,a4,b,b1,b2,b3,b4,c,d,e,f,"PARTIDUL NAȚIONAL LIBERAL-voturi","ALIANȚA PENTRU UNIREA ROMÂNILOR-voturi","PARTIDUL SOCIAL DEMOCRAT-voturi","PARTIDUL OAMENILOR TINERI-voturi","PARTIDUL UMANIST SOCIAL LIBERAL-voturi"
12,CĂLĂRAŞI,"SCOALA CU CLASELE I-IV VALEA STANII",165,LUICA,104083,1,PART,PRCNCT,CL,CL_SV,"2024-06-10 05:40:24",440,418,0,11,11,265,243,0,11,11,251,14,429,162,173,18,52,6,2
12,CĂLĂRAŞI,"SCOALA CU CLASELE I-VIII LUICA",164,LUICA,104083,1,PROV,PRCNCT,CL,CL_SV,"2024-06-10 05:24:36",1236,1184,0,21,31,747,695,0,21,31,657,38,1323,628,390,46,162,34,25
