precinct_county_nce,precinct_county_name,precinct_name,precinct_nr,uat_name,uat_siruta,report_version,report_stage_code,report_type_scope_code,report_type_category_code,report_type_code,created_at,a,a1,a2,a3,a4,b,b1,b2,b3,b4,c,d,e,f,"PARTIDUL NAȚIONAL LIBERAL-voturi","UNIUNEA SALVAȚI ROMÂNIA-voturi","ALIANȚA PENTRU UNIREA ROMÂNILOR-voturi","PARTIDUL SOCIAL DEMOCRAT-voturi","PARTIDUL S.O.S. ROMÂNIA-voturi","PARTIDUL PRO ROMÂNIA-voturi"
18,GALAŢI,"CLADIREA GRADINITA NR.1",324,INDEPENDENŢA,76585,1,PART,PRCNCT,CL,CL_SV,"2024-06-10 03:01:53",929,917,1,6,5,501,490,0,6,5,476,25,1015,514,60,70,32,285,17,12
18,GALAŢI,"SCOALA GIMNAZIALA NR. 1",322,INDEPENDENŢA,76585,3,PART,PRCNCT,CL,CL_SV,"2024-06-10 07:03:20",1325,1309,0,4,12,745,729,0,4,12,724,21,1457,712,82,123,41,441,34,3
18,GALAŢI,"SCOALA GIMNAZIALA NR. 2",323,INDEPENDENŢA,76585,4,PART,PRCNCT,CL,CL_SV,"2024-06-13 15:44:29",1588,1572,0,6,10,924,908,0,6,10,907,17,1744,820,178,211,80,407,27,4
