precinct_county_nce,precinct_county_name,precinct_name,precinct_nr,uat_name,uat_siruta,report_version,report_stage_code,report_type_scope_code,report_type_category_code,report_type_code,created_at,a,a1,a2,a3,a4,b,b1,b2,b3,b4,c,d,e,f,"NĂSTASE FĂNEL-PARTIDUL SOCIAL DEMOCRAT-voturi","PUCHIANU ION-ALIANȚA PENTRU UNIREA ROMÂNILOR-voturi","CORBU GEORGIAN-PARTIDUL NAȚIONAL LIBERAL-voturi"
23,IALOMIŢA,"GRĂDINIŢA CU PROGRAM NORMAL TRAIAN",214,TRAIAN,179702,2,PART,PRCNCT,P,P_SV,"2024-06-13 14:10:35",1161,1098,0,10,53,835,775,0,10,50,806,29,1300,465,367,11,428
23,IALOMIŢA,"ŞCOLA PROFESIONALĂ TRAIAN",215,TRAIAN,179702,1,PART,PRCNCT,P,P_SV,"2024-06-10 06:12:15",1267,1225,1,9,32,869,827,1,9,32,842,27,1363,494,305,6,531
