precinct_county_nce,precinct_county_name,precinct_name,precinct_nr,uat_name,uat_siruta,report_version,report_stage_code,report_type_scope_code,report_type_category_code,report_type_code,created_at,a,a1,a2,a3,a4,b,b1,b2,b3,b4,c,d,e,f,"MELNICIUC DANIEL-PARTIDUL NAȚIONAL LIBERAL-voturi","DAMINESCU NICOLAE-PARTIDUL SOCIAL DEMOCRAT-voturi","WERSCHING OLIVER-CRISTIAN-ALIANȚA PENTRU UNIREA ROMÂNILOR-voturi","CONŢIU ADRIAN-PARTIDUL MIȘCAREA POPULARĂ-voturi"
11,CARAŞ-SEVERIN,"GRĂDINIȚA CU PROGRAM NORMAL SACU",310,SACU,53755,1,PROV,PRCNCT,P,P_SV,"2024-06-10 06:26:55",713,651,1,24,37,465,403,1,24,37,450,13,717,251,52,325,61,12
11,CARAŞ-SEVERIN,"GRĂDINIȚA CU PROGRAM NORMAL TINCOVA",312,SACU,53755,1,PART,PRCNCT,P,P_SV,"2024-06-10 02:33:54",400,376,0,12,12,225,201,0,12,12,209,16,413,188,43,128,32,6
11,CARAŞ-SEVERIN,"ȘCOALA PRIMARĂ SĂLBĂGELU NOU",311,SACU,53755,1,PART,PRCNCT,P,P_SV,"2024-06-10 02:30:37",218,208,0,9,1,124,114,0,9,1,118,6,232,108,67,39,12,0
