precinct_county_nce,precinct_county_name,precinct_name,precinct_nr,uat_name,uat_siruta,report_version,report_stage_code,report_type_scope_code,report_type_category_code,report_type_code,created_at,a,a1,a2,a3,a4,b,b1,b2,b3,b4,c,d,e,f,"VOINEAGU NICULAE-ALIANȚA PENTRU UNIREA ROMÂNILOR-voturi","CĂRTUŞANU GHEORGHIŢĂ-PARTIDUL SOCIAL DEMOCRAT-voturi","GAVRILĂ NICOLAE-PARTIDUL NAȚIONAL LIBERAL-voturi","NICULAE JAN-ALIANȚA DREAPTA UNITĂ USR - PMP - FORȚA DREPTEI-voturi","DĂNILĂ IONUŢ-ALEXANDRU-PARTIDUL S.O.S. ROMÂNIA-voturi"
12,CĂLĂRAŞI,"SCOALA CLASELE 1-4 NR. 3",142,FUNDENI,103014,1,PROV,PRCNCT,P,P_SV,"2024-06-10 10:36:02",1145,1115,0,18,12,819,789,0,18,12,783,35,1214,396,25,401,346,1,10
12,CĂLĂRAŞI,"ŞCOALA GIMNAZIALĂ NR. 1 FUNDENI",140,FUNDENI,103014,1,PROV,PRCNCT,P,P_SV,"2024-06-10 10:06:42",1317,1277,0,24,16,957,917,0,24,16,944,13,1400,443,12,405,496,4,27
12,CĂLĂRAŞI,"ȘCOALA PRIMARĂ NR. 2",141,FUNDENI,103014,1,PART,PRCNCT,P,P_SV,"2024-06-10 10:46:54",1231,1165,2,44,20,845,781,0,44,20,814,31,1300,455,11,448,310,5,40
