precinct_county_nce,precinct_county_name,precinct_name,precinct_nr,uat_name,uat_siruta,report_version,report_stage_code,report_type_scope_code,report_type_category_code,report_type_code,created_at,a,a1,a2,a3,a4,b,b1,b2,b3,b4,c,d,e,f,"ROPAN IONEL-PARTIDUL NAȚIONAL LIBERAL-voturi","DUMITRIU-MUREŞAN DRAGOŞ-UNIUNEA SALVAȚI ROMÂNIA-voturi","COCOS VASILE-PARTIDUL SOCIAL DEMOCRAT-voturi","CIURAR VLADIMIR-PARTIDUL S.O.S. ROMÂNIA-voturi","BOT ALEXANDRU-VASILE-PARTIDUL NAȚIONAL ȚĂRĂNESC MANIU-MIHALACHE-voturi"
6,BISTRIŢA-NĂSĂUD,"CĂMINUL CULTURAL BAŢA",217,"PETRU RAREŞ",34173,1,PART,PRCNCT,P,P_SV,"2024-06-10 10:21:42",707,689,0,6,12,436,418,0,6,12,426,10,750,314,342,11,68,1,4
6,BISTRIŢA-NĂSĂUD,"PRIMĂRIA COMUNEI PETRU RAREŞ",215,"PETRU RAREŞ",34173,1,PART,PRCNCT,P,P_SV,"2024-06-10 10:08:46",1395,1354,3,14,24,826,788,0,14,24,804,22,1550,724,563,19,203,5,14
6,BISTRIŢA-NĂSĂUD,"ŞCOALA GENERALĂ RETEAG POIENI, CLASELE I - IV",216,"PETRU RAREŞ",34173,1,PART,PRCNCT,P,P_SV,"2024-06-10 06:47:48",746,738,0,4,4,352,344,0,4,4,327,17,795,451,190,18,97,22,0
