precinct_county_nce,precinct_county_name,precinct_name,precinct_nr,uat_name,uat_siruta,report_version,report_stage_code,report_type_scope_code,report_type_category_code,report_type_code,created_at,a,a1,a2,a3,a4,b,b1,b2,b3,b4,c,d,e,f,"POGAR LAURENŢIU-UNIUNEA DEMOCRATĂ MAGHIARĂ DIN ROMÂNIA-voturi","FECHET MIRCEA-PARTIDUL NAȚIONAL LIBERAL-voturi","MARGINĂ GELU-ALIANȚA PENTRU UNIREA ROMÂNILOR-voturi","BREAHNĂ-PRAVĂŢ IONELA-CRISTINA-PARTIDUL SOCIAL DEMOCRAT-voturi","DÂRLEA ALEXANDRU-PARTIDUL S.O.S. ROMÂNIA-voturi","GRIGOROAIA CORNEL-VIOREL-PARTIDUL REÎNNOIM PROIECTUL EUROPEAN AL ROMÂNIEI-voturi","MELINTE ION-ALIANȚA DREAPTA UNITĂ USR - PMP - FORȚA DREPTEI-voturi","MOGHIOR MARIUS-CĂTĂLIN-PARTIDUL UMANIST SOCIAL LIBERAL-voturi"
4,BACĂU,"ŞCOALA CU CLASELE I-VIII SATUL SCORŢENI",573,SCORŢENI,25291,1,PROV,PRCNCT,PCJ,PCJ_SV,"2024-06-10 19:37:36",1214,1177,0,9,28,702,665,0,9,28,652,50,1300,598,4,239,113,107,33,1,105,50
4,BACĂU,"ŞCOALA CU CLASELE I-VIII SATUL SOLONŢ",580,SOLONŢ,25488,1,PROV,PRCNCT,PCJ,PCJ_SV,"2024-06-10 06:47:53",1181,1175,0,2,4,557,551,0,2,4,549,8,1300,743,24,86,96,238,31,9,59,6
4,BACĂU,"ŞCOALA CU CLASELE I-VIII SATU NOU",414,LIPOVA,23207,2,PROV,PRCNCT,PCJ,PCJ_SV,"2024-06-10 10:20:51",415,396,0,3,16,217,198,0,3,16,198,19,500,283,1,39,28,117,6,2,5,0
4,BACĂU,"ŞCOALA CU CLASELE I-VIII TISA SILVESTRI",467,ODOBEŞTI,26353,1,PROV,PRCNCT,PCJ,PCJ_SV,"2024-06-10 11:23:55",940,883,0,48,9,601,544,0,48,9,568,33,1000,399,1,116,56,369,12,1,12,1
4,BACĂU,"ŞCOALA CU CLASELE I-VIII TREBEŞ",447,MĂRGINENI,20466,1,PROV,PRCNCT,PCJ,PCJ_SV,"2024-06-10 02:03:43",697,690,0,7,0,312,305,0,7,0,296,16,800,488,3,111,17,107,12,8,30,8
4,BACĂU,"ŞCOALA CU CLASELE I-VIII VALEA ARINILOR",431,MĂGIREŞTI,23387,4,PROV,PRCNCT,PCJ,PCJ_SV,"2024-06-11 11:52:53",923,909,0,3,11,482,468,0,3,11,449,33,1000,518,2,179,34,182,26,8,11,7
4,BACĂU,"ŞCOALA CU CLASELE L-IV PĂGUBENI",215,"ORAŞ DĂRMĂNEŞTI",22166,1,PROV,PRCNCT,PCJ,PCJ_SV,"2024-06-10 02:49:06",306,296,0,10,0,173,163,0,10,0,157,16,300,127,4,91,7,40,6,1,7,1
4,BACĂU,"ŞCOALA CU CL.I-VIII GÎRLENI",356,GÂRLENI,22781,2,PROV,PRCNCT,PCJ,PCJ_SV,"2024-06-10 07:42:02",1080,1079,1,0,0,535,534,1,0,0,489,46,1200,665,10,129,55,89,41,49,108,8
4,BACĂU,"ŞCOALA CU CL.I-VIII GÎRLENI",357,GÂRLENI,22781,1,PROV,PRCNCT,PCJ,PCJ_SV,"2024-06-10 06:19:18",1002,1000,0,1,1,480,478,0,1,1,456,24,1100,620,7,137,66,70,25,64,75,12
4,BACĂU,"ŞCOALA CU CL.I-VIII GÎRLENII DE SUS",355,GÂRLENI,22781,2,PROV,PRCNCT,PCJ,PCJ_SV,"2024-06-10 12:16:13",1581,1572,2,3,4,677,670,0,3,4,654,23,1700,1023,17,150,133,88,17,156,92,1
4,BACĂU,"ŞCOALA CU CL.I-VIII LESPEZI",358,GÂRLENI,22781,1,PROV,PRCNCT,PCJ,PCJ_SV,"2024-06-10 06:24:00",837,832,1,0,4,371,367,0,0,4,350,20,900,530,5,100,37,74,7,98,29,0
4,BACĂU,"ŞCOALA CU CL.I-VIII LESPEZI",359,GÂRLENI,22781,1,PROV,PRCNCT,PCJ,PCJ_SV,"2024-06-10 06:39:13",1320,1318,2,0,0,583,583,0,0,0,559,24,1400,817,10,134,41,123,12,166,67,6
4,BACĂU,"ŞCOALA DIMITRIE GHICA ZĂVOI",205,"ORAŞ COMĂNEŞTI",20821,1,PROV,PRCNCT,PCJ,PCJ_SV,"2024-06-10 06:37:34",1242,1226,3,10,3,479,466,0,10,3,467,12,1300,821,3,163,65,180,31,10,14,1
4,BACĂU,"ŞCOALA DRĂGUGEŞTI 2",384,HELEGIU,22898,1,PROV,PRCNCT,PCJ,PCJ_SV,"2024-06-10 01:52:16",337,327,0,8,2,164,154,0,8,2,141,23,400,236,3,20,30,59,1,0,28,0
4,BACĂU,"ŞCOALA DUMBRAVA",402,ITEŞTI,26379,3,PROV,PRCNCT,PCJ,PCJ_SV,"2024-06-10 04:15:33",365,356,3,5,1,221,214,1,5,1,212,9,412,191,1,66,51,66,10,3,10,5
4,BACĂU,"ŞCOALA GALBENI",349,FILIPEŞTI,22576,1,PROV,PRCNCT,PCJ,PCJ_SV,"2024-06-10 03:08:04",665,650,0,14,1,342,327,0,14,1,322,20,700,358,1,183,15,107,7,4,4,1
4,BACĂU,"ŞCOALA GENERALĂ ANTOHEŞTI",405,"IZVORU BERHECIULUI",23127,2,PROV,PRCNCT,PCJ,PCJ_SV,"2024-06-10 04:59:26",315,300,0,13,2,181,166,0,13,2,174,7,400,219,1,48,8,113,2,2,0,0
4,BACĂU,"ŞCOALA GENERALĂ BOŞOTENI",264,BEREŞTI-TAZLĂU,21338,1,PROV,PRCNCT,PCJ,PCJ_SV,"2024-06-10 02:23:30",344,332,0,3,9,177,165,0,3,9,170,7,400,223,0,42,11,110,4,2,0,1
4,BACĂU,"SCOALA GENERALA CETATUIA",591,STRUGARI,25629,1,PROV,PRCNCT,PCJ,PCJ_SV,"2024-06-10 02:16:33",216,214,0,0,2,127,125,0,0,2,121,6,300,173,5,8,64,37,6,0,1,0
4,BACĂU,"ȘCOALA GENERALĂ CRIHAN",435,MĂGURA,20411,1,PROV,PRCNCT,PCJ,PCJ_SV,"2024-06-10 09:43:11",1174,1164,1,7,2,617,608,0,7,2,592,25,1250,633,7,322,87,107,14,10,40,5
4,BACĂU,"ŞCOALA GENERALA CU CASELE I-IV SATUL LUNCA DOCHIEI",625,URECHEŞTI,26029,3,PROV,PRCNCT,PCJ,PCJ_SV,"2024-06-10 09:54:14",247,240,0,7,0,140,133,0,7,0,121,11,300,168,2,33,12,38,1,2,33,0
4,BACĂU,"SCOALA GENERALA CU CLASELE I-IV BERESTI",554,SASCUT,25068,1,PROV,PRCNCT,PCJ,PCJ_SV,"2024-06-10 05:40:52",1113,1098,1,7,7,615,601,0,7,7,591,24,1200,585,0,209,17,286,19,0,57,3
4,BACĂU,"ŞCOALA GENERALĂ CU CLASELE I-IV DĂMIENEŞTI",322,DĂMIENEŞTI,22111,2,PROV,PRCNCT,PCJ,PCJ_SV,"2024-06-10 06:20:20",444,427,0,3,14,291,274,0,3,14,275,16,500,209,2,35,15,197,6,11,8,1
4,BACĂU,"ŞCOALA GENERALA CU CLASELE I-IV FĂGETUL DE SUS",362,GHIMEŞ-FĂGET,22718,2,PROV,PRCNCT,PCJ,PCJ_SV,"2024-06-10 04:16:14",202,198,1,3,0,121,118,0,3,0,116,5,300,179,73,9,1,27,1,1,4,0
4,BACĂU,"ŞCOALA GENERALA CU CLASELE I-IV RĂCHITIŞ",364,GHIMEŞ-FĂGET,22718,1,PROV,PRCNCT,PCJ,PCJ_SV,"2024-06-10 01:35:41",196,187,0,8,1,115,106,0,8,1,108,7,200,85,5,16,5,63,4,0,15,0
4,BACĂU,"ŞCOALA GENERALA CU CLASELE I-IV SATUL SATU NOU",626,URECHEŞTI,26029,2,PROV,PRCNCT,PCJ,PCJ_SV,"2024-06-10 07:24:28",241,236,0,4,1,144,139,0,4,1,136,8,300,156,1,22,10,61,7,1,31,3
4,BACĂU,"ŞCOALA GENERALA CU CLASELE I-IV SEACA",336,DOFTEANA,22380,1,PROV,PRCNCT,PCJ,PCJ_SV,"2024-06-10 02:21:37",370,357,1,8,4,216,204,0,8,4,209,7,400,184,2,25,36,127,6,1,12,0
4,BACĂU,"ŞCOALA GENERALA CU CLASELE I-IV ŞTEFAN VODĂ",337,DOFTEANA,22380,1,PROV,PRCNCT,PCJ,PCJ_SV,"2024-06-10 03:54:54",835,818,0,10,7,451,434,0,10,7,434,17,900,449,1,64,35,309,9,0,16,0
4,BACĂU,"ŞCOALA GENERALĂ CU CLASELE I-IV STUFU",562,SĂNDULENI,25148,1,PROV,PRCNCT,PCJ,PCJ_SV,"2024-06-10 05:52:05",278,275,0,3,0,143,140,0,3,0,132,11,300,157,1,24,7,92,2,1,2,3
4,BACĂU,"ŞCOALA GENERALĂ CU CLASELE I-VIII APA-ASĂU",243,ASĂU,21123,2,PROV,PRCNCT,PCJ,PCJ_SV,"2024-06-10 07:36:41",569,559,0,6,4,308,298,0,6,4,298,10,600,292,3,60,42,152,22,6,12,1
4,BACĂU,"ŞCOALA GENERALĂ CU CLASELE I-VIII APA-ASĂU",242,ASĂU,21123,2,PROV,PRCNCT,PCJ,PCJ_SV,"2024-06-10 07:09:09",654,648,0,1,5,363,357,0,1,5,356,7,700,337,2,65,46,183,42,7,11,0
4,BACĂU,"ŞCOALA GENERALA CU CLASELE I-VIII ASAU",240,ASĂU,21123,1,PROV,PRCNCT,PCJ,PCJ_SV,"2024-06-10 04:11:25",834,823,0,4,7,381,370,0,4,7,362,19,900,519,8,74,43,174,27,7,27,2
4,BACĂU,"ŞCOALA GENERALĂ CU CLASELE I-VIII ASAU",241,ASĂU,21123,1,PROV,PRCNCT,PCJ,PCJ_SV,"2024-06-10 04:19:00",847,838,0,7,2,411,402,0,7,2,390,21,904,493,7,86,71,157,53,3,10,3
4,BACĂU,"ŞCOALA GENERALA CU CLASELE I-VIII BOLOVĂNIŞ",361,GHIMEŞ-FĂGET,22718,1,PROV,PRCNCT,PCJ,PCJ_SV,"2024-06-10 06:18:19",708,706,0,2,0,343,341,0,2,0,324,19,802,459,110,69,34,86,15,2,8,0
4,BACĂU,"ŞCOALA GENERALĂ CU CLASELE I-VIII CĂLUGĂRENI",323,DĂMIENEŞTI,22111,1,PROV,PRCNCT,PCJ,PCJ_SV,"2024-06-10 04:49:48",780,770,0,4,6,423,413,0,4,6,392,31,900,477,7,124,18,202,9,26,6,0
4,BACĂU,"ŞCOALA GENERALĂ CU CLASELE I-VIII COMAN",561,SĂNDULENI,25148,1,PROV,PRCNCT,PCJ,PCJ_SV,"2024-06-10 05:39:38",1025,1021,0,2,2,426,422,0,2,2,391,35,1100,674,9,39,13,316,10,0,3,1
4,BACĂU,"SCOALA GENERALA CU CLASELE I-VIII CUCUIETI",332,DOFTEANA,22380,1,PROV,PRCNCT,PCJ,PCJ_SV,"2024-06-10 02:42:06",870,831,0,3,36,491,452,0,3,36,466,25,1000,509,2,89,40,299,18,1,15,2
4,BACĂU,"SCOALA GENERALA CU CLASELE I-VIII CUCUIETI",333,DOFTEANA,22380,1,PROV,PRCNCT,PCJ,PCJ_SV,"2024-06-10 01:25:50",1048,1019,0,3,26,554,525,0,3,26,534,20,1100,546,3,95,48,330,27,3,24,4
4,BACĂU,"ŞCOALA GENERALA CU CLASELE I-VIII GHIMEŞ",363,GHIMEŞ-FĂGET,22718,2,PROV,PRCNCT,PCJ,PCJ_SV,"2024-06-10 05:33:06",900,894,0,6,0,538,532,0,6,0,521,17,1000,462,435,20,6,49,7,0,3,1
4,BACĂU,"ŞCOALA GENERALA CU CLASELE I-VIII HĂGHIAC",334,DOFTEANA,22380,2,PROV,PRCNCT,PCJ,PCJ_SV,"2024-06-10 06:57:49",1263,1234,3,6,20,660,633,1,6,20,627,33,1400,740,9,139,63,368,23,3,21,1
4,BACĂU,"SCOALA GENERALA CU CLASELE I-VIII ION STRAT GIOSENI",368,GIOSENI,26346,1,PROV,PRCNCT,PCJ,PCJ_SV,"2024-06-10 05:21:46",1127,1125,0,2,0,433,431,0,2,0,414,19,1200,767,2,213,23,128,6,1,27,14
4,BACĂU,"ŞCOALA GENERALA CU CLASELE I-VIII ION STRAT GIOSENI",367,GIOSENI,26346,2,PROV,PRCNCT,PCJ,PCJ_SV,"2024-06-10 07:16:19",1241,1239,0,2,0,592,590,0,2,0,560,32,1400,808,6,323,16,144,8,2,37,24
4,BACĂU,"ŞCOALA GENERALA CU CLASELE I-VIII ION STRAT GIOSENI",366,GIOSENI,26346,1,PROV,PRCNCT,PCJ,PCJ_SV,"2024-06-10 04:24:31",866,866,0,0,0,386,386,0,0,0,362,24,1000,614,6,193,23,96,10,1,24,9
4,BACĂU,"ŞCOALA GENERALA CU CLASELE I-VIII LARGA",335,DOFTEANA,22380,1,PROV,PRCNCT,PCJ,PCJ_SV,"2024-06-10 11:05:35",1055,1025,0,3,27,626,596,0,3,27,601,25,1100,474,0,56,58,455,16,2,13,1
4,BACĂU,"ŞCOALA GENERALA CU CLASELE I-VIII TĂRHĂUŞI",365,GHIMEŞ-FĂGET,22718,2,PROV,PRCNCT,PCJ,PCJ_SV,"2024-06-10 06:06:55",629,624,0,5,0,309,304,0,5,0,288,21,742,433,129,37,28,77,6,0,9,2
4,BACĂU,"ŞCOALA GENERALA CU CLASELE I-VIII VERŞEŞTI",563,SĂNDULENI,25148,2,PROV,PRCNCT,PCJ,PCJ_SV,"2024-06-10 10:53:43",639,636,0,0,3,330,327,0,0,3,317,13,750,420,3,18,17,269,8,0,0,2
4,BACĂU,"ŞCOALA GENERALĂ ENĂCHEŞTI",265,BEREŞTI-TAZLĂU,21338,1,PROV,PRCNCT,PCJ,PCJ_SV,"2024-06-10 03:13:54",623,607,0,6,10,309,293,0,6,10,288,21,700,391,0,81,32,153,12,1,9,0
4,BACĂU,"ŞCOALA GENERALĂ GOIOASA",235,AGĂŞ,21007,1,PROV,PRCNCT,PCJ,PCJ_SV,"2024-06-10 04:31:07",664,661,0,2,1,321,318,0,2,1,307,14,700,379,3,82,42,160,9,3,1,7
4,BACĂU,"ŞCOALA GENERALA GRIGORE TĂBĂCARU HEMEIUŞ",386,HEMEIUŞ,20313,1,PROV,PRCNCT,PCJ,PCJ_SV,"2024-06-10 05:47:54",1271,1268,0,3,0,683,680,0,3,0,662,21,1400,717,3,307,62,142,31,19,86,12
4,BACĂU,"SCOALA GENERALA ION SIMIONESCU, LILIECI",387,HEMEIUŞ,20313,1,PROV,PRCNCT,PCJ,PCJ_SV,"2024-06-10 03:52:00",1581,1577,1,2,1,733,730,0,2,1,706,27,1700,967,7,323,69,161,37,20,79,10
4,BACĂU,"SCOALA GENERALA NR. 1",223,"ORAŞ TÂRGU OCNA",20965,1,PROV,PRCNCT,PCJ,PCJ_SV,"2024-06-10 07:32:58",1347,1330,3,13,1,623,607,2,13,1,606,17,1500,877,3,202,91,233,23,6,34,14
4,BACĂU,"ŞCOALA GENERALA.NR.2 MĂNĂSTIREA CAŞIN",439,"MĂNĂSTIREA CAŞIN",23449,3,PROV,PRCNCT,PCJ,PCJ_SV,"2024-06-10 09:42:11",1634,1620,0,6,8,922,908,0,6,8,860,62,1800,878,1,401,30,395,14,3,16,0
4,BACĂU,"SCOALA GENERALA NR. 3",228,"ORAŞ TÂRGU OCNA",20965,1,PROV,PRCNCT,PCJ,PCJ_SV,"2024-06-10 04:29:24",909,900,0,9,0,420,411,0,9,0,391,29,1000,580,1,80,51,199,15,7,30,8
4,BACĂU,"SCOALA GENERALA NR. 3",227,"ORAŞ TÂRGU OCNA",20965,2,PROV,PRCNCT,PCJ,PCJ_SV,"2024-06-10 07:26:05",1055,1038,0,14,3,474,457,0,14,3,456,18,1100,626,3,94,55,238,21,2,27,16
4,BACĂU,"ȘCOALA GENERALĂ NR. 3 PODU TURCULUI",528,"PODU TURCULUI",24524,3,PROV,PRCNCT,PCJ,PCJ_SV,"2024-06-10 07:07:07",500,493,0,6,1,314,307,0,6,1,300,14,500,186,3,40,14,186,6,1,49,1
4,BACĂU,"SCOALA GENERALA NR. 5",230,"ORAŞ TÂRGU OCNA",20965,1,PROV,PRCNCT,PCJ,PCJ_SV,"2024-06-10 03:57:51",758,751,1,6,0,367,361,0,6,0,351,16,1363,996,4,65,49,190,20,6,11,6
4,BACĂU,"SCOALA GENERALA NR. 6",231,"ORAŞ TÂRGU OCNA",20965,1,PROV,PRCNCT,PCJ,PCJ_SV,"2024-06-10 05:33:07",951,936,2,9,4,521,508,0,9,4,501,20,1000,479,3,50,48,345,28,7,13,7
4,BACĂU,"ŞCOALA GENERALĂ PRELUCI",236,AGĂŞ,21007,1,PROV,PRCNCT,PCJ,PCJ_SV,"2024-06-10 05:24:23",989,984,1,4,0,574,570,0,4,0,551,23,1100,526,2,132,44,319,8,9,7,30
4,BACĂU,"ŞCOALA GENERALĂ PRISACA",266,BEREŞTI-TAZLĂU,21338,1,PROV,PRCNCT,PCJ,PCJ_SV,"2024-06-10 02:54:33",433,420,0,6,7,214,201,0,6,7,202,12,500,286,0,47,14,129,5,0,4,3
4,BACĂU,"ŞCOALA GENERALĂ ROMÂNEŞTI",267,BEREŞTI-TAZLĂU,21338,2,PROV,PRCNCT,PCJ,PCJ_SV,"2024-06-10 05:03:48",372,352,0,5,15,247,227,0,5,15,238,9,400,153,1,86,39,95,8,3,3,3
4,BACĂU,"SCOALA GENERALA SATUL BOGDANA",595,"ŞTEFAN CEL MARE",20670,1,PROV,PRCNCT,PCJ,PCJ_SV,"2024-06-10 01:57:48",448,432,1,3,12,261,246,0,3,12,256,5,500,239,0,16,21,209,2,2,5,1
4,BACĂU,"ŞCOALA GENERALĂ SATUL FULGERIŞ",499,PÂNCEŞTI,24187,1,PROV,PRCNCT,PCJ,PCJ_SV,"2024-06-10 03:03:44",427,417,0,5,5,138,128,0,5,5,134,4,500,362,2,48,6,69,1,0,8,0
4,BACĂU,"ŞCOALA GENERALĂ SATUL PETREŞTI",500,PÂNCEŞTI,24187,2,PROV,PRCNCT,PCJ,PCJ_SV,"2024-06-10 10:31:54",670,649,0,14,7,335,314,0,14,7,308,27,700,365,2,130,32,109,13,3,16,3
4,BACĂU,"ŞCOALA GENERALĂ SATUL PETRICICA",592,STRUGARI,25629,2,PROV,PRCNCT,PCJ,PCJ_SV,"2024-06-10 06:41:03",567,556,0,0,11,299,288,0,0,11,270,29,600,301,3,46,77,120,11,5,5,3
4,BACĂU,"ŞCOALA GENERALĂ SATUL RĂCHITIŞ",593,STRUGARI,25629,1,PROV,PRCNCT,PCJ,PCJ_SV,"2024-06-10 04:32:48",332,325,0,2,5,216,209,0,2,5,197,19,400,184,3,12,40,114,21,1,5,1
4,BACĂU,"ŞCOALA GENERALĂ SATUL SÎRBI",531,"PODU TURCULUI",24524,1,PROV,PRCNCT,PCJ,PCJ_SV,"2024-06-10 01:54:59",334,320,0,9,5,214,200,0,9,5,198,16,400,186,4,34,12,89,3,1,52,3
4,BACĂU,"ŞCOALA GENERALĂ SATUL SOCI",501,PÂNCEŞTI,24187,2,PROV,PRCNCT,PCJ,PCJ_SV,"2024-06-10 09:49:19",630,620,0,7,3,352,345,0,4,3,320,32,700,348,6,70,20,204,5,2,11,2
4,BACĂU,"ŞCOALA GENERALĂ SATUL STRUGARI",590,STRUGARI,25629,1,PROV,PRCNCT,PCJ,PCJ_SV,"2024-06-10 04:58:42",780,767,1,6,6,463,450,1,6,6,439,24,796,333,4,39,125,220,34,5,11,1
4,BACĂU,"ŞCOALA GENERALĂ SULŢA",237,AGĂŞ,21007,2,PROV,PRCNCT,PCJ,PCJ_SV,"2024-06-10 06:48:34",798,790,1,7,0,424,417,0,7,0,408,16,900,476,5,147,38,167,8,33,8,2
4,BACĂU,"ŞCOALA GENERALĂ TESCANI",268,BEREŞTI-TAZLĂU,21338,1,PROV,PRCNCT,PCJ,PCJ_SV,"2024-06-10 05:33:40",601,591,0,4,6,302,292,0,4,6,289,13,700,398,4,61,32,163,22,0,4,3
