precinct_county_nce,precinct_county_name,precinct_name,precinct_nr,uat_name,uat_siruta,report_version,report_stage_code,report_type_scope_code,report_type_category_code,report_type_code,created_at,a,a1,a2,a3,a4,b,b1,b2,b3,b4,c,d,e,f,"CÎŞLARIU COSMIN-FLORIN-PARTIDUL SOCIAL DEMOCRAT-voturi","GLODEANU-BOSÂNCIAN GHEORGHE-PARTIDUL NAȚIONAL LIBERAL-voturi","ALEXOAIE OVIDIU-ALIANȚA DREAPTA UNITĂ USR - PMP - FORȚA DREPTEI-voturi"
7,BOTOŞANI,"CĂMIN CULTURAL COTÂRGACI",356,ROMA,38811,1,PART,PRCNCT,P,P_SV,"2024-06-10 02:42:31",682,673,1,6,2,208,200,0,6,2,205,3,701,493,115,76,14
7,BOTOŞANI,"SCOALA NR. 1 ROMA",354,ROMA,38811,1,PART,PRCNCT,P,P_SV,"2024-06-10 06:42:36",1446,1435,1,0,10,717,707,0,0,10,690,27,1600,883,338,253,99
7,BOTOŞANI,"SCOALA NR.2 ROMA",355,ROMA,38811,4,PART,PRCNCT,P,P_SV,"2024-06-11 13:53:45",989,970,0,3,16,574,555,0,3,16,549,25,1100,526,262,248,39
