precinct_county_nce,precinct_county_name,precinct_name,precinct_nr,uat_name,uat_siruta,report_version,report_stage_code,report_type_scope_code,report_type_category_code,report_type_code,created_at,a,a1,a2,a3,a4,b,b1,b2,b3,b4,c,d,e,f,"PARTIDUL SOCIAL DEMOCRAT-voturi","ALIANȚA PENTRU UNIREA ROMÂNILOR-voturi","PARTIDUL NAȚIONAL LIBERAL-voturi","PARTIDUL MIȘCAREA POPULARĂ-voturi","CEZAR VIOREL-voturi"
24,IAŞI,"CĂMIN CULTURAL - SALA II OTELENI",584,OŢELENI,98300,1,PROV,PRCNCT,CL,CL_SV,"2024-06-10 08:14:20",1046,1007,0,7,32,534,495,0,7,32,477,25,1100,477,138,109,191,30,9
24,IAŞI,"CĂMIN CULTURAL - SALA I OTELENI",583,OŢELENI,98300,1,PART,PRCNCT,CL,CL_SV,"2024-06-10 08:06:15",979,947,0,4,28,532,500,0,4,28,500,32,1100,568,115,122,213,32,18
24,IAŞI,"SCOALA GIMNAZIALA HINDRESTI",585,OŢELENI,98300,1,PROV,PRCNCT,CL,CL_SV,"2024-06-10 05:13:39",877,857,0,7,13,408,388,0,7,13,380,28,984,576,114,54,166,40,6
