precinct_county_nce,precinct_county_name,precinct_name,precinct_nr,uat_name,uat_siruta,report_version,report_stage_code,report_type_scope_code,report_type_category_code,report_type_code,created_at,a,a1,a2,a3,a4,b,b1,b2,b3,b4,c,d,e,f,"PARTIDUL SOCIAL DEMOCRAT-voturi","FORUMUL CEHILOR DIN ROMÂNIA-voturi","ALIANȚA DREAPTA UNITĂ USR - PMP - FORȚA DREPTEI-voturi","PARTIDUL NAȚIONAL LIBERAL-voturi","ALIANȚA PENTRU UNIREA ROMÂNILOR-voturi"
27,MEHEDINŢI,"FOSTA PRIMĂRIE EIBENTHAL",165,DUBOVA,112904,2,PART,PRCNCT,CL,CL_SV,"2024-06-12 09:34:05",350,252,0,82,16,262,164,0,82,16,256,6,278,16,154,12,2,80,8
27,MEHEDINŢI,"FOSTA ŞCOALĂ BAIA NOUĂ",164,DUBOVA,112904,2,PART,PRCNCT,CL,CL_SV,"2024-06-10 21:25:44",173,146,0,25,2,143,116,0,25,2,140,3,164,21,23,11,4,100,2
27,MEHEDINŢI,"PRIMĂRIA DUBOVA",163,DUBOVA,112904,2,PART,PRCNCT,CL,CL_SV,"2024-06-12 09:30:59",517,427,0,68,22,393,303,0,68,22,388,5,470,77,156,1,18,169,44
