precinct_county_nce,precinct_county_name,precinct_name,precinct_nr,uat_name,uat_siruta,report_version,report_stage_code,report_type_scope_code,report_type_category_code,report_type_code,created_at,a,a1,a2,a3,a4,b,b1,b2,b3,b4,c,d,e,f,"PARTIDUL SOCIAL DEMOCRAT-voturi","PARTIDUL NAȚIONAL LIBERAL-voturi","PARTIDUL MIȘCAREA POPULARĂ-voturi","ALIANȚA DREAPTA UNITĂ USR - FORȚA DREPTEI-voturi"
36,TELEORMAN,"GRĂDINIŢA NEGRENII DE SUS",302,"TĂTĂRĂŞTII DE JOS",154585,1,PART,PRCNCT,CL,CL_SV,"2024-06-10 05:37:42",612,597,0,15,0,347,332,0,15,0,299,33,660,328,187,50,16,46
36,TELEORMAN,"ŞCOALA GIMNAZIALĂ SLĂVEŞTI",303,"TĂTĂRĂŞTII DE JOS",154585,1,PROV,PRCNCT,CL,CL_SV,"2024-06-10 05:21:58",718,684,0,22,12,439,406,0,21,12,418,21,754,314,203,28,26,161
36,TELEORMAN,"ŞCOALA GIMNAZIALĂ TĂTĂRĂŞTII DE JOS",301,"TĂTĂRĂŞTII DE JOS",154585,1,PART,PRCNCT,CL,CL_SV,"2024-06-10 11:03:03",1109,1086,2,17,4,664,643,0,17,4,606,58,1200,536,348,97,34,127
