precinct_county_nce,precinct_county_name,precinct_name,precinct_nr,uat_name,uat_siruta,report_version,report_stage_code,report_type_scope_code,report_type_category_code,report_type_code,created_at,a,a1,a2,a3,a4,b,b1,b2,b3,b4,c,d,e,f,"NECEA VIŢA-PARTIDUL SOCIAL DEMOCRAT-voturi","VÎLCU SANDU-PARTIDUL NAȚIONAL LIBERAL-voturi","MITROI IULIAN-ALIANȚA PENTRU UNIREA ROMÂNILOR-voturi","POPESCU MARCELA-DANIELA-PARTIDUL MIȘCAREA POPULARĂ-voturi"
36,TELEORMAN,"GRĂDINIȚA CU PROGRAM NORMAL NR. 1 NENCIULEȘTI",219,NENCIULEŞTI,154996,2,PART,PRCNCT,P,P_SV,"2024-06-10 08:09:24",771,729,1,16,25,507,465,1,16,25,490,16,800,294,304,170,6,10
36,TELEORMAN,"GRĂDINIȚA CU PROGRAM NORMAL NR. 2 PĂRU ROTUND",220,NENCIULEŞTI,154996,1,PART,PRCNCT,P,P_SV,"2024-06-10 04:06:58",468,455,0,6,7,300,294,0,6,0,270,24,500,206,102,160,4,4
36,TELEORMAN,"ȘCOALA GIMNAZIALĂ NENCIULEȘTI",218,NENCIULEŞTI,154996,1,PART,PRCNCT,P,P_SV,"2024-06-10 04:40:07",659,626,0,15,18,363,330,0,15,18,337,26,681,318,215,112,4,6
