precinct_county_nce,precinct_county_name,precinct_name,precinct_nr,uat_name,uat_siruta,report_version,report_stage_code,report_type_scope_code,report_type_category_code,report_type_code,created_at,a,a1,a2,a3,a4,b,b1,b2,b3,b4,c,d,e,f,"PARTIDUL SOCIAL DEMOCRAT-voturi","PARTIDUL NAȚIONAL LIBERAL-voturi","ALIANȚA PENTRU UNIREA ROMÂNILOR-voturi","PARTIDUL S.O.S. ROMÂNIA-voturi","PARTIDUL PATRIOȚILOR-voturi"
35,SUCEAVA,"CĂMINUL CULTURAL VOIEVODEASA",477,SUCEVIŢA,150418,1,PART,PRCNCT,CL,CL_SV,"2024-06-10 06:29:13",1137,1100,0,19,18,681,644,0,19,18,659,22,1214,533,106,454,14,22,63
35,SUCEAVA,"SCOALA GIMNAZIALĂ DIMITRIE VATAMANIUC",476,SUCEVIŢA,150418,2,PART,PRCNCT,CL,CL_SV,"2024-06-10 11:33:26",1519,1466,4,17,32,777,724,4,17,32,758,19,1600,823,282,382,32,31,31
