precinct_county_nce,precinct_county_name,precinct_name,precinct_nr,uat_name,uat_siruta,report_version,report_stage_code,report_type_scope_code,report_type_category_code,report_type_code,created_at,a,a1,a2,a3,a4,b,b1,b2,b3,b4,c,d,e,f,"ALIANȚA DREAPTA UNITĂ USR - PMP - FORȚA DREPTEI-voturi","PARTIDUL NAȚIONAL LIBERAL-voturi","PARTIDUL SOCIAL DEMOCRAT-voturi"
41,VRANCEA,"CAMIN CULTURAL PRAHUDA",235,PALTIN,177101,2,PART,PRCNCT,CL,CL_SV,"2024-06-12 16:53:02",420,411,0,1,8,262,253,0,1,8,249,13,458,196,1,96,152
41,VRANCEA,"GRĂDINIȚA CU PROGRAM NORMAL PALTIN",234,PALTIN,177101,2,PART,PRCNCT,CL,CL_SV,"2024-06-12 16:56:16",1091,1056,0,6,29,759,724,0,6,29,729,30,1183,424,11,263,455
