precinct_county_nce,precinct_county_name,precinct_name,precinct_nr,uat_name,uat_siruta,report_version,report_stage_code,report_type_scope_code,report_type_category_code,report_type_code,created_at,a,a1,a2,a3,a4,b,b1,b2,b3,b4,c,d,e,f,"VINTILĂ ADRIAN-CLAUDIU-PARTIDUL SOCIAL DEMOCRAT-voturi","RĂDUCANU DORIN-GABRIEL-PARTIDUL NAȚIONAL LIBERAL-voturi"
31,PRAHOVA,"FOSTA ŞCOALĂ SAT SFÂRLEANCA",406,DUMBRĂVEŞTI,131461,1,PART,PRCNCT,P,P_SV,"2024-06-10 05:21:54",483,472,0,8,3,356,345,0,8,3,354,2,503,147,37,317
31,PRAHOVA,"SALA DE UTILITATE PUBLICĂ",405,DUMBRĂVEŞTI,131461,1,PART,PRCNCT,P,P_SV,"2024-06-10 05:59:54",1267,1252,0,6,9,857,842,0,6,9,839,18,1420,563,334,505
31,PRAHOVA,"ȘCOALA GIMNAZIALĂ SERGENT EROU GRIGORE IOAN DUMBRĂVEȘTI",404,DUMBRĂVEŞTI,131461,1,PART,PRCNCT,P,P_SV,"2024-06-10 07:11:23",1126,1118,3,1,4,758,751,2,1,4,736,22,1220,462,156,580
