precinct_county_nce,precinct_county_name,precinct_name,precinct_nr,uat_name,uat_siruta,report_version,report_stage_code,report_type_scope_code,report_type_category_code,report_type_code,created_at,a,a1,a2,a3,a4,b,b1,b2,b3,b4,c,d,e,f,"FEJER LASZLO-BALAZS-UNIUNEA DEMOCRATĂ MAGHIARĂ DIN ROMÂNIA-voturi","ARDELEANU DAVID-ALIANȚA PENTRU UNIREA ROMÂNILOR-voturi","VÎLCU LAURENŢIU-PARTIDUL MIȘCAREA POPULARĂ-voturi","BEŞCHEA SEVERIUS-FLORIN-PARTIDUL NAȚIONAL LIBERAL-voturi","ŞEITAN ADRIAN-ANDREI-PARTIDUL SOCIAL DEMOCRAT-voturi","GECZI ADINA-ELENA-voturi"
8,BRAŞOV,"CAMIN CULTURAL",433,TĂRLUNGENI,42003,1,PROV,PRCNCT,P,P_SV,"2024-06-10 09:39:28",1786,1762,7,9,8,923,906,0,9,8,843,80,1900,976,96,55,17,471,68,136
8,BRAŞOV,"GRADINITA PROGRAM PRELUNGIT",434,TĂRLUNGENI,42003,1,PART,PRCNCT,P,P_SV,"2024-06-10 12:04:35",1759,1740,3,9,7,927,910,1,9,7,905,22,1900,973,214,23,11,334,129,194
8,BRAŞOV,"SCOALA GENERALA CARPINIS",436,TĂRLUNGENI,42003,1,PART,PRCNCT,P,P_SV,"2024-06-10 07:06:53",1316,1301,10,5,0,637,632,0,5,0,627,10,1400,763,22,28,45,157,133,242
8,BRAŞOV,"SCOALA GENERALA PURCARENI",437,TĂRLUNGENI,42003,1,PROV,PRCNCT,P,P_SV,"2024-06-10 07:19:03",1231,1212,1,13,5,725,707,0,13,5,702,22,1414,690,148,13,17,246,75,203
8,BRAŞOV,"SCOALA GENERALA ZIZIN",438,TĂRLUNGENI,42003,1,PART,PRCNCT,P,P_SV,"2024-06-10 08:37:33",1139,1127,2,8,2,842,832,0,8,2,785,57,1300,458,135,418,12,101,39,80
8,BRAŞOV,"SCOALA GENERALA ZIZIN",439,TĂRLUNGENI,42003,1,PART,PRCNCT,P,P_SV,"2024-06-10 08:36:34",1237,1219,1,8,9,890,872,1,8,9,823,67,1300,410,139,437,8,120,43,76
8,BRAŞOV,"ȘCOALA PRIMARĂ CĂRPINIȘ",435,TĂRLUNGENI,42003,1,PART,PRCNCT,P,P_SV,"2024-06-10 07:04:48",1336,1314,3,19,0,631,612,0,19,0,618,13,1400,769,29,34,37,207,60,251
