precinct_county_nce,precinct_county_name,precinct_name,precinct_nr,uat_name,uat_siruta,report_version,report_stage_code,report_type_scope_code,report_type_category_code,report_type_code,created_at,a,a1,a2,a3,a4,b,b1,b2,b3,b4,c,d,e,f,"NECULA NICUŞOR-ADRIAN-PARTIDUL SOCIAL DEMOCRAT-voturi","NEGRU MARIAN-PARTIDUL NAȚIONAL LIBERAL-voturi"
19,GIURGIU,"CĂMINUL CULTURAL LETCA NOUĂ",171,"LETCA NOUĂ",104047,2,PART,PRCNCT,P,P_SV,"2024-06-10 06:36:22",795,665,0,103,27,640,510,0,103,27,634,6,750,110,86,548
19,GIURGIU,"CĂMINUL CULTURAL LETCA VECHE",172,"LETCA NOUĂ",104047,2,PART,PRCNCT,P,P_SV,"2024-06-10 05:37:51",749,670,2,52,25,552,473,2,52,25,546,6,752,200,124,422
19,GIURGIU,"CĂMINUL CULTURAL MILCOVĂȚU",173,"LETCA NOUĂ",104047,2,PART,PRCNCT,P,P_SV,"2024-06-11 09:58:55",1255,1071,0,146,38,1052,868,0,146,38,1033,19,1221,162,364,669
