precinct_county_nce,precinct_county_name,precinct_name,precinct_nr,uat_name,uat_siruta,report_version,report_stage_code,report_type_scope_code,report_type_category_code,report_type_code,created_at,a,a1,a2,a3,a4,b,b1,b2,b3,b4,c,d,e,f,"PARTIDUL NAȚIONAL LIBERAL-voturi","PARTIDUL SOCIAL DEMOCRAT-voturi","ALIANȚA PENTRU UNIREA ROMÂNILOR-voturi","PARTIDUL ROMÂNIA ÎN ACȚIUNE-voturi"
31,PRAHOVA,"ŞCOALA GIMNAZIALĂ MATEI BASARAB CORP A, SAT BREBU MÎNĂSTIREI, NR.799",348,BREBU,132404,1,PART,PRCNCT,CL,CL_SV,"2024-06-10 06:20:45",1494,1473,1,17,3,946,925,1,17,3,918,28,1600,654,428,373,45,72
31,PRAHOVA,"ŞCOALA GIMNAZIALĂ MATEI BASARAB CORP B, SAT BREBU MÎNĂSTIREI, NR.803",347,BREBU,132404,1,PART,PRCNCT,CL,CL_SV,"2024-06-10 04:01:31",890,866,0,21,3,577,553,0,21,3,564,13,900,323,279,209,33,43
31,PRAHOVA,"ŞCOALA GIMNAZIALĂ MATEI BASARAB, ŞCOALĂ GIMNAZIALĂ PIETRICEAUA, SAT PIETRICEAUA, NR.1",351,BREBU,132404,1,PART,PRCNCT,CL,CL_SV,"2024-06-10 03:59:35",867,863,0,3,1,510,506,0,3,1,499,11,1000,490,257,185,44,13
31,PRAHOVA,"ŞCOALA GIMNAZIALĂ MATEI BASARAB, ŞCOALĂ PRIMARĂ STRUCTURĂ, NR.2, SAT BREBU MEGIEŞESC, NR.53",349,BREBU,132404,1,PART,PRCNCT,CL,CL_SV,"2024-06-10 08:50:15",1450,1424,2,23,1,912,887,1,23,1,889,23,1600,688,324,454,38,73
31,PRAHOVA,"ŞCOALA GIMNAZIALĂ MATEI BASARAB, ŞCOALĂ PRIMARĂ STRUCTURĂ, SAT BREBU MEGIEŞESC, NR.278",350,BREBU,132404,2,PART,PRCNCT,CL,CL_SV,"2024-06-10 05:56:21",1040,1023,0,16,1,679,662,0,16,1,663,16,1100,421,316,268,35,44
31,PRAHOVA,"ŞCOALA GIMNAZIALĂ MATEI BASARAB, ŞCOALĂ PRIMARĂ STRUCTURĂ, SAT PODU CHEII, NR.12",352,BREBU,132404,1,PART,PRCNCT,CL,CL_SV,"2024-06-10 04:17:04",136,125,0,11,0,103,92,0,11,0,100,3,169,66,51,37,8,4
