precinct_county_nce,precinct_county_name,precinct_name,precinct_nr,uat_name,uat_siruta,report_version,report_stage_code,report_type_scope_code,report_type_category_code,report_type_code,created_at,a,a1,a2,a3,a4,b,b1,b2,b3,b4,c,d,e,f,"SCRIPCARIU VASILE-ALIN-PARTIDUL NAȚIONAL LIBERAL-voturi","ABĂRBERIŢEI ROMICĂ-ALIANȚA PENTRU UNIREA ROMÂNILOR-voturi","ŞTEFANACHE PAVEL-PARTIDUL SOCIAL DEMOCRAT-voturi","CATARANCIUC RADU-ALIANȚA NAȚIONAL CREȘTINĂ-voturi","MERTICARIU IONEL-SEBASTIAN-ALIANȚA DREAPTA UNITĂ USR - PMP - FORȚA DREPTEI-voturi"
7,BOTOŞANI,"CAMINUL CULTURAL NEGRENI",380,ŞTIUBIENI,39220,1,PROV,PRCNCT,P,P_SV,"2024-06-10 04:58:29",638,611,0,5,22,410,383,0,5,22,363,47,700,290,9,45,279,1,29
7,BOTOŞANI,"ȘCOALA GIMNAZIALĂ NR. 1 - ȘTIUBIENI",379,ŞTIUBIENI,39220,1,PROV,PRCNCT,P,P_SV,"2024-06-10 07:22:21",792,723,0,10,59,792,723,0,10,59,772,20,1661,869,91,225,326,47,83
