precinct_county_nce,precinct_county_name,precinct_name,precinct_nr,uat_name,uat_siruta,report_version,report_stage_code,report_type_scope_code,report_type_category_code,report_type_code,created_at,a,a1,a2,a3,a4,b,b1,b2,b3,b4,c,d,e,f,"PARTIDUL SOCIAL DEMOCRAT-voturi","PARTIDUL NAȚIONAL LIBERAL-voturi","ALIANȚA PENTRU UNIREA ROMÂNILOR-voturi","PARTIDUL UMANIST SOCIAL LIBERAL-voturi","PARTIDUL PATRIOȚILOR-voturi","ALIANȚA DREAPTA UNITĂ USR - PMP-voturi"
35,SUCEAVA,"CĂMIN CULTURAL GĂLĂNEŞTI",335,GĂLĂNEŞTI,148872,1,PART,PRCNCT,CL,CL_SV,"2024-06-10 04:10:20",1019,1017,0,0,2,422,420,0,0,2,406,16,1200,778,173,36,12,29,46,110
35,SUCEAVA,"ŞCOALA PRIMARĂ DIN SATUL GĂLĂNEŞTI",334,GĂLĂNEŞTI,148872,1,PART,PRCNCT,CL,CL_SV,"2024-06-10 05:10:03",1620,1616,0,0,4,631,627,0,0,4,610,21,1677,1046,246,111,61,39,61,92
