precinct_county_nce,precinct_county_name,precinct_name,precinct_nr,uat_name,uat_siruta,report_version,report_stage_code,report_type_scope_code,report_type_category_code,report_type_code,created_at,a,a1,a2,a3,a4,b,b1,b2,b3,b4,c,d,e,f,"PARTIDUL NAȚIONAL LIBERAL-voturi","PARTIDUL SOCIAL DEMOCRAT-voturi","ALIANȚA PENTRU UNIREA ROMÂNILOR-voturi","PARTIDUL UMANIST SOCIAL LIBERAL-voturi","ABRUDAN FLORIN-GHEORGHE-voturi"
13,CLUJ,"CĂMIN CULTURAL BOLOGA",590,POIENI,59041,1,PART,PRCNCT,CL,CL_SV,"2024-06-10 04:19:34",470,464,0,6,0,309,303,0,6,0,304,5,518,209,79,96,17,108,4
13,CLUJ,"CĂMIN CULTURAL TRANIŞU",594,POIENI,59041,1,PART,PRCNCT,CL,CL_SV,"2024-06-10 04:16:43",259,253,0,6,0,159,153,0,6,0,152,7,279,120,71,56,22,3,0
13,CLUJ,"PRIMĂRIA COMUNEI POIENI",589,POIENI,59041,1,PART,PRCNCT,CL,CL_SV,"2024-06-10 05:31:35",914,908,1,4,1,500,495,0,4,1,462,38,1008,508,62,189,166,25,20
13,CLUJ,"ŞCOALA GIMNAZIALA ”AUREL MUNTEANU” VALEA DRĂGANULUI",595,POIENI,59041,1,PART,PRCNCT,CL,CL_SV,"2024-06-10 07:34:08",1277,1264,1,8,4,798,786,0,8,4,780,18,1390,592,430,208,112,23,7
13,CLUJ,"ŞCOALA HODIŞU",591,POIENI,59041,1,PART,PRCNCT,CL,CL_SV,"2024-06-10 02:51:11",267,262,0,5,0,137,132,0,5,0,135,2,294,157,48,54,28,2,3
13,CLUJ,"ŞCOALA LUNCA VIŞAGULUI",592,POIENI,59041,1,PART,PRCNCT,CL,CL_SV,"2024-06-10 01:54:37",174,168,1,5,0,99,94,0,5,0,98,1,186,87,42,39,13,2,2
13,CLUJ,"ŞCOALA PRIMARA MORLACA",593,POIENI,59041,1,PART,PRCNCT,CL,CL_SV,"2024-06-10 03:32:00",556,552,0,4,0,318,314,0,4,0,301,17,608,290,92,146,45,17,1
