precinct_county_nce,precinct_county_name,precinct_name,precinct_nr,uat_name,uat_siruta,report_version,report_stage_code,report_type_scope_code,report_type_category_code,report_type_code,created_at,a,a1,a2,a3,a4,b,b1,b2,b3,b4,c,d,e,f,"UNIUNEA SALVAȚI ROMÂNIA-voturi","ALIANȚA PENTRU UNIREA ROMÂNILOR-voturi","UNIUNEA SÂRBILOR DIN ROMÂNIA-voturi","ALIANȚA ELECTORALĂ PSD PNL-voturi","FORȚA DREPTEI-voturi"
37,TIMIŞ,"PRIMĂRIA COMUNEI SÂNPETRU MARE",561,"SÂNPETRU MARE",158733,1,PART,PRCNCT,CL,CL_SV,"2024-06-10 03:08:22",961,943,0,3,15,507,489,0,3,15,483,24,1021,514,16,139,82,224,22
37,TIMIŞ,"PRIMĂRIA COMUNEI SÂNPETRU MARE",562,"SÂNPETRU MARE",158733,1,PART,PRCNCT,CL,CL_SV,"2024-06-10 05:23:36",868,849,1,1,17,475,456,1,1,17,447,28,1000,525,16,113,85,211,22
37,TIMIŞ,"ŞCOALA GIMNAZIALĂ ACADEMICIAN PROFESOR DOCTOR MUNTEANU IOAN IGRIȘ",563,"SÂNPETRU MARE",158733,1,PART,PRCNCT,CL,CL_SV,"2024-06-10 04:40:06",951,918,2,3,28,603,571,1,3,28,572,31,1020,417,14,248,21,260,29
