precinct_county_nce,precinct_county_name,precinct_name,precinct_nr,uat_name,uat_siruta,report_version,report_stage_code,report_type_scope_code,report_type_category_code,report_type_code,created_at,a,a1,a2,a3,a4,b,b1,b2,b3,b4,c,d,e,f,"POP CORINA-ANCA-PARTIDUL SOCIAL DEMOCRAT-voturi","LAR CORNEL-DOREL-ALIANȚA PENTRU UNIREA ROMÂNILOR-voturi","POP DĂNUŢ-IOAN-PARTIDUL NAȚIONAL LIBERAL-voturi","STRUGUREL IOSIF-VASILE-ALIANȚA DREAPTA UNITĂ USR - PMP-voturi","TODORAN SORIN-PARTIDUL S.O.S. ROMÂNIA-voturi"
33,SĂLAJ,"PIATA AGROALIMENTARA ILEANDA",189,ILEANDA,141580,1,PART,PRCNCT,P,P_SV,"2024-06-10 19:16:24",952,937,1,13,1,621,607,0,13,1,605,16,1000,379,230,41,318,8,8
33,SĂLAJ,"ŞCOALA GENERALĂ",198,ILEANDA,141580,2,PART,PRCNCT,P,P_SV,"2024-06-10 09:58:37",45,39,0,5,1,28,22,0,5,1,27,1,50,22,11,1,12,3,0
33,SĂLAJ,"ŞCOALA GENERALĂ",195,ILEANDA,141580,2,PART,PRCNCT,P,P_SV,"2024-06-10 04:56:47",114,104,0,9,1,68,58,0,9,1,66,2,120,52,32,3,22,9,0
33,SĂLAJ,"ŞCOALA GENERALĂ",190,ILEANDA,141580,2,PART,PRCNCT,P,P_SV,"2024-06-10 11:57:24",155,145,2,7,1,119,109,2,7,1,113,6,160,41,25,51,31,5,1
33,SĂLAJ,"ŞCOALA GENERALĂ",193,ILEANDA,141580,2,PART,PRCNCT,P,P_SV,"2024-06-10 08:08:46",91,83,0,8,0,53,45,0,8,0,50,3,100,47,22,10,15,0,3
33,SĂLAJ,"ŞCOALA GENERALĂ",196,ILEANDA,141580,3,PART,PRCNCT,P,P_SV,"2024-06-10 04:00:25",102,99,0,2,1,66,63,0,2,1,64,2,120,54,26,3,32,2,1
33,SĂLAJ,"ŞCOALA GENERALĂ",194,ILEANDA,141580,2,PART,PRCNCT,P,P_SV,"2024-06-10 09:04:54",97,81,0,16,0,67,51,0,16,0,63,4,100,33,33,3,13,1,13
33,SĂLAJ,"ŞCOALA GENERALĂ",197,ILEANDA,141580,1,PART,PRCNCT,P,P_SV,"2024-06-10 00:01:44",83,71,2,10,0,59,49,0,10,0,56,3,98,39,21,8,21,2,4
33,SĂLAJ,"ŞCOALA GENERALĂ DOLHENI",191,ILEANDA,141580,2,PART,PRCNCT,P,P_SV,"2024-06-10 06:11:20",77,69,0,6,2,53,45,0,6,2,51,2,90,37,19,5,27,0,0
33,SĂLAJ,"ŞCOALA GENERALĂ LUMINIŞU",192,ILEANDA,141580,2,PART,PRCNCT,P,P_SV,"2024-06-10 07:01:37",82,65,1,15,1,67,50,1,15,1,66,1,90,23,10,2,51,3,0
