precinct_county_nce,precinct_county_name,precinct_name,precinct_nr,uat_name,uat_siruta,report_version,report_stage_code,report_type_scope_code,report_type_category_code,report_type_code,created_at,a,a1,a2,a3,a4,b,b1,b2,b3,b4,c,d,e,f,"FEKETE PÁL-UNIUNEA DEMOCRATĂ MAGHIARĂ DIN ROMÂNIA-voturi"
28,MUREŞ,"CĂMINUL CULTURAL JACODU",562,VEŢCA,120174,1,PART,PRCNCT,P,P_SV,"2024-06-10 00:46:45",189,188,0,1,0,98,97,0,1,0,91,7,210,112,91
28,MUREŞ,"ȘCOALA GIMNAZIALĂ VEȚCA",561,VEŢCA,120174,1,PART,PRCNCT,P,P_SV,"2024-06-10 00:47:54",355,350,1,1,3,177,173,0,1,3,172,5,384,207,172
