precinct_county_nce,precinct_county_name,precinct_name,precinct_nr,uat_name,uat_siruta,report_version,report_stage_code,report_type_scope_code,report_type_category_code,report_type_code,created_at,a,a1,a2,a3,a4,b,b1,b2,b3,b4,c,d,e,f,"DOCHIEI PETRU-PARTIDUL SOCIAL DEMOCRAT-voturi","IORGA DANIEL-DUMITRU-ALIANȚA PENTRU UNIREA ROMÂNILOR-voturi","ANGHEL ADRIAN-PARTIDUL NAȚIONAL LIBERAL-voturi","SPIRIDON CĂTĂLIN-PARTIDUL UMANIST SOCIAL LIBERAL-voturi"
4,BACĂU,GRADINITA,408,"LETEA VECHE",20359,1,PART,PRCNCT,P,P_SV,"2024-06-10 08:30:32",1516,1504,2,9,1,806,796,0,9,1,764,33,1600,803,441,183,107,33
4,BACĂU,"SALA DE EVENIMENTE",409,"LETEA VECHE",20359,1,PART,PRCNCT,P,P_SV,"2024-06-10 01:23:47",350,340,1,9,0,178,169,0,9,0,170,8,400,222,99,35,33,3
4,BACĂU,"SCOALA COORDONATOARE LETEA VECHE",407,"LETEA VECHE",20359,1,PART,PRCNCT,P,P_SV,"2024-06-10 06:52:39",1783,1770,2,11,0,903,892,0,11,0,889,12,1900,999,585,37,245,22
4,BACĂU,"ŞCOALA COORDONATOARE LETEA VECHE",406,"LETEA VECHE",20359,1,PART,PRCNCT,P,P_SV,"2024-06-10 07:46:46",1555,1545,3,7,0,796,789,0,7,0,782,14,1700,904,569,24,171,18
4,BACĂU,"ŞCOALA RUŞI CIUTEA",410,"LETEA VECHE",20359,1,PART,PRCNCT,P,P_SV,"2024-06-10 05:01:30",682,668,0,14,0,408,394,0,14,0,383,25,704,296,292,21,56,14
4,BACĂU,"ŞCOALA SIRETU",411,"LETEA VECHE",20359,1,PART,PRCNCT,P,P_SV,"2024-06-10 04:44:35",531,512,2,17,0,341,324,0,17,0,331,10,600,259,277,13,33,8
