precinct_county_nce,precinct_county_name,precinct_name,precinct_nr,uat_name,uat_siruta,report_version,report_stage_code,report_type_scope_code,report_type_category_code,report_type_code,created_at,a,a1,a2,a3,a4,b,b1,b2,b3,b4,c,d,e,f,"PARTIDUL SOCIAL DEMOCRAT-voturi","UNIUNEA SALVAȚI ROMÂNIA-voturi","ALIANȚA PENTRU UNIREA ROMÂNILOR-voturi","PARTIDUL NAȚIONAL LIBERAL-voturi","PARTIDUL PATRIOȚILOR-voturi","PARTIDUL UMANIST SOCIAL LIBERAL-voturi","PARTIDUL PRO ROMÂNIA-voturi","FORȚA DREPTEI-voturi"
26,MARAMUREŞ,"ŞCOALA GENERALĂ „MOCEARSCHI”",355,PETROVA,108455,1,PART,PRCNCT,CL,CL_SV,"2024-06-10 05:43:05",1010,994,2,5,9,636,622,0,5,9,560,61,1140,519,63,39,44,265,20,47,63,19
26,MARAMUREŞ,"ŞCOALA GENERALĂ „SUSANI”",356,PETROVA,108455,1,PROV,PRCNCT,CL,CL_SV,"2024-06-10 04:25:59",955,935,0,5,15,559,539,0,5,15,513,46,1000,441,119,34,46,195,14,41,48,16
