precinct_county_nce,precinct_county_name,precinct_name,precinct_nr,uat_name,uat_siruta,report_version,report_stage_code,report_type_scope_code,report_type_category_code,report_type_code,created_at,a,a1,a2,a3,a4,b,b1,b2,b3,b4,c,d,e,f,"FORUMUL DEMOCRAT AL GERMANILOR DIN ROMÂNIA-voturi","ALIANȚA PENTRU UNIREA ROMÂNILOR-voturi","PARTIDUL NAȚIONAL LIBERAL-voturi","UNIUNEA DEMOCRATĂ MAGHIARĂ DIN ROMÂNIA-voturi","PARTIDUL SOCIAL DEMOCRAT-voturi","PARTIDUL ALTERNATIVA DREAPTĂ-voturi","PARTIDUL PATRIOȚILOR-voturi","PARTIDUL S.O.S. ROMÂNIA-voturi","ALIANȚA DREAPTA UNITĂ USR - PMP - FORȚA DREPTEI-voturi","PARTIDUL ECOLOGIST ROMÂN-voturi","ALIANȚA PUSL + PRO ROMÂNIA-voturi"
34,SIBIU,"AUTOGARA MEDIAŞ",126,"MUNICIPIUL MEDIAŞ",143619,1,PROV,PRCNCT,CJ,CJ_SV,"2024-06-10 06:37:09",1170,1154,3,9,4,459,446,0,9,4,439,20,1250,791,29,37,89,12,66,13,111,4,60,14,4
34,SIBIU,"CAMIN CULTURAL",198,"ORAŞ MIERCUREA SIBIULUI",144928,1,PROV,PRCNCT,CJ,CJ_SV,"2024-06-10 07:38:59",667,652,6,8,1,297,287,1,8,1,256,39,720,425,7,102,99,1,36,0,1,6,3,1,0
34,SIBIU,"CAMIN CULTURAL",197,"ORAŞ MIERCUREA SIBIULUI",144928,1,PROV,PRCNCT,CJ,CJ_SV,"2024-06-10 03:51:55",1517,1464,5,37,11,490,442,0,37,11,441,40,1610,1120,42,66,212,0,91,0,3,12,6,9,0
34,SIBIU,"CĂMIN CULTURAL",248,BLĂJEL,144303,1,PROV,PRCNCT,CJ,CJ_SV,"2024-06-10 05:59:15",1442,1409,6,6,21,859,832,0,6,21,774,85,1580,721,18,67,356,36,235,4,12,9,20,10,7
34,SIBIU,"CĂMIN CULTURAL",234,"AXENTE SEVER",144116,1,PROV,PRCNCT,CJ,CJ_SV,"2024-06-10 04:02:07",1167,1148,2,8,9,519,502,0,8,9,502,17,1290,771,27,78,207,1,122,3,5,16,33,9,1
34,SIBIU,"CĂMIN CULTURAL",368,"ŞURA MARE",145765,1,PROV,PRCNCT,CJ,CJ_SV,"2024-06-10 04:08:34",775,764,4,5,2,441,433,1,5,2,410,31,840,399,21,34,182,0,101,3,3,8,28,27,3
34,SIBIU,"CĂMIN CULTURAL",235,"AXENTE SEVER",144116,1,PROV,PRCNCT,CJ,CJ_SV,"2024-06-10 04:45:26",137,123,2,12,0,137,123,2,12,0,134,3,310,173,3,7,95,0,25,0,2,2,0,0,0
34,SIBIU,"CĂMIN CULTURAL ACILIU",205,"ORAŞ SĂLIŞTE",145499,1,PROV,PRCNCT,CJ,CJ_SV,"2024-06-10 00:46:59",195,178,0,17,0,112,95,0,17,0,100,12,190,78,7,16,45,0,26,0,1,4,0,1,0
34,SIBIU,"CĂMIN CULTURAL ALĂMOR",291,LOAMNEŞ,144795,1,PROV,PRCNCT,CJ,CJ_SV,"2024-06-10 02:54:36",611,595,0,7,9,379,363,0,7,9,349,30,650,271,8,29,69,2,218,1,0,1,17,3,1
34,SIBIU,"CĂMIN CULTURAL ARPAȘU DE JOS",227,"ARPAŞU DE JOS",143959,1,PROV,PRCNCT,CJ,CJ_SV,"2024-06-10 05:15:45",921,911,2,8,0,595,587,0,8,0,534,61,1000,405,12,57,64,0,311,3,31,12,12,31,1
34,SIBIU,"CĂMIN CULTURAL BUNGRAD",363,ŞELIMBĂR,143557,1,PROV,PRCNCT,CJ,CJ_SV,"2024-06-10 03:05:37",510,499,1,10,0,313,303,0,10,0,279,34,550,237,24,48,63,1,74,6,4,6,30,20,3
34,SIBIU,"CĂMIN CULTURAL FÂNTÂNELE",207,"ORAŞ SĂLIŞTE",145499,1,PROV,PRCNCT,CJ,CJ_SV,"2024-06-10 00:03:48",182,167,4,9,2,83,71,1,9,2,80,3,180,97,3,10,27,4,21,0,1,4,7,2,1
34,SIBIU,"CĂMIN CULTURAL FLOREŞTI",286,LASLEA,144731,1,PROV,PRCNCT,CJ,CJ_SV,"2024-06-10 03:48:21",126,112,0,12,2,83,69,0,12,2,77,6,200,117,1,9,10,0,51,0,0,0,6,0,0
