precinct_county_nce,precinct_county_name,precinct_name,precinct_nr,uat_name,uat_siruta,report_version,report_stage_code,report_type_scope_code,report_type_category_code,report_type_code,created_at,a,a1,a2,a3,a4,b,b1,b2,b3,b4,c,d,e,f,"DRAGOMIR FLORIN-ALIANȚA PENTRU UNIREA ROMÂNILOR-voturi","DUMITRĂŞCONIU DUMITRU-PARTIDUL NAȚIONAL LIBERAL-voturi","DRĂGHICI CĂTĂLIN-PARTIDUL SOCIAL DEMOCRAT-voturi"
27,MEHEDINŢI,"ŞCOALA GENERALĂ I-IV JIDOŞTIŢA",124,BREZNIŢA-OCOL,110820,1,PROV,PRCNCT,P,P_SV,"2024-06-10 04:52:19",912,883,1,12,16,523,495,0,12,16,514,9,973,450,56,6,0
27,MEHEDINŢI,"ŞCOALA GENERALĂ I-IV MAGHERU",125,BREZNIŢA-OCOL,110820,1,PROV,PRCNCT,P,P_SV,"2024-06-10 04:17:57",920,907,0,6,7,473,460,0,6,7,449,24,1006,531,28,16,405
27,MEHEDINŢI,"ŞCOALA GENERALĂ I-VIII BREZNIŢA OCOL",123,BREZNIŢA-OCOL,110820,1,PART,PRCNCT,P,P_SV,"2024-06-10 05:11:31",1471,1443,0,5,23,809,781,0,5,23,792,17,1589,780,43,13,736
