precinct_county_nce,precinct_county_name,precinct_name,precinct_nr,uat_name,uat_siruta,report_version,report_stage_code,report_type_scope_code,report_type_category_code,report_type_code,created_at,a,a1,a2,a3,a4,b,b1,b2,b3,b4,c,d,e,f,"BENEDEK LÁSZLÓ-FORȚA CIVICĂ MAGHIARĂ - MAGYAR POLGÁRI ERŐ-voturi"
21,HARGHITA,"ȘCOALA GIMNAZIALĂ „KRIZA JÁNOS”",102,CĂPÂLNIŢA,83963,1,PART,PRCNCT,P,P_SV,"2024-06-10 03:07:37",847,836,0,4,7,451,440,0,4,7,404,47,900,449,404
21,HARGHITA,"ȘCOALA GIMNAZIALĂ „KRIZA JÁNOS”",101,CĂPÂLNIŢA,83963,1,PART,PRCNCT,P,P_SV,"2024-06-10 03:46:43",827,819,1,0,7,480,472,1,0,7,415,65,900,420,415
