precinct_county_nce,precinct_county_name,precinct_name,precinct_nr,uat_name,uat_siruta,report_version,report_stage_code,report_type_scope_code,report_type_category_code,report_type_code,created_at,a,a1,a2,a3,a4,b,b1,b2,b3,b4,c,d,e,f,"BADEA GHEORGHE-PARTIDUL NAȚIONAL LIBERAL-voturi","BĂNARU RĂZVAN-PARTIDUL SOCIAL DEMOCRAT-voturi"
16,DÂMBOVIŢA,"AFTER- SCHOOL",414,VÂRFURI,69447,1,PART,PRCNCT,P,P_SV,"2024-06-10 02:49:20",681,670,1,4,6,380,370,0,4,6,359,21,740,360,31,328
16,DÂMBOVIŢA,"CĂMIN CULTURAL",415,VÂRFURI,69447,1,PART,PRCNCT,P,P_SV,"2024-06-10 03:43:51",759,756,0,0,3,437,434,0,0,3,424,13,835,398,41,383
