precinct_county_nce,precinct_county_name,precinct_name,precinct_nr,uat_name,uat_siruta,report_version,report_stage_code,report_type_scope_code,report_type_category_code,report_type_code,created_at,a,a1,a2,a3,a4,b,b1,b2,b3,b4,c,d,e,f,"ALIANȚA PENTRU UNIREA ROMÂNILOR-voturi","PARTIDUL SOCIAL DEMOCRAT-voturi","PARTIDUL NAȚIONAL LIBERAL-voturi","PARTIDUL S.O.S. ROMÂNIA-voturi","ALIANȚA DREAPTA UNITĂ USR - FORȚA DREPTEI-voturi"
30,OLT,"BIBLIOTECA COMUNALĂ",365,"VIŞINA NOUĂ",130375,1,PROV,PRCNCT,CJ,CJ_SV,"2024-06-10 04:34:13",1482,1365,1,20,96,917,800,1,20,96,886,31,1503,586,85,706,55,7,33
30,OLT,"CAMIN C ULTURAL",320,STREJEŞTI,129139,1,PROV,PRCNCT,CJ,CJ_SV,"2024-06-10 02:21:02",420,395,4,18,3,307,286,0,18,3,295,12,435,128,42,86,148,11,8
30,OLT,"CAMIN CULTURAL",151,CEZIENI,126102,1,PROV,PRCNCT,CJ,CJ_SV,"2024-06-10 01:01:22",177,171,0,3,3,115,109,0,3,3,111,4,187,72,11,76,17,7,0
30,OLT,"CĂMIN CULTURAL",283,RADOMIREŞTI,128472,1,PROV,PRCNCT,CJ,CJ_SV,"2024-06-10 07:11:07",976,946,0,10,20,541,511,0,10,20,487,28,1040,525,13,320,83,8,63
30,OLT,"CĂMIN CULTURAL",222,"GURA PADINII",130339,1,PROV,PRCNCT,CJ,CJ_SV,"2024-06-10 05:52:02",1451,1360,0,10,81,939,848,0,10,81,892,47,1491,552,71,695,90,15,21
30,OLT,"CĂMIN CULTURAL",276,PERIEŢI,128052,3,PROV,PRCNCT,CJ,CJ_SV,"2024-06-10 08:39:25",1666,1601,0,48,17,1081,1016,0,48,17,1037,44,1745,664,145,543,237,31,81
30,OLT,"CĂMIN CULTURAL COMĂNIȚA",334,TESLUI,129380,1,PROV,PRCNCT,CJ,CJ_SV,"2024-06-10 03:51:17",734,687,0,24,23,512,465,0,24,23,490,22,784,272,55,341,75,12,7
30,OLT,"CAMIN CULTURAL LELEASCA",238,LELEASCA,127411,2,PROV,PRCNCT,CJ,CJ_SV,"2024-06-10 19:23:54",413,382,0,28,3,275,244,0,28,3,261,14,440,165,28,122,99,10,2
30,OLT,"CAMIN CULTURAL STUDINA",322,STUDINA,129184,1,PROV,PRCNCT,CJ,CJ_SV,"2024-06-10 03:50:52",1243,1170,1,24,48,801,728,1,24,48,763,38,1340,539,62,120,540,23,18
30,OLT,"CAMIN CULTURAL STUDINIȚA",323,STUDINA,129184,1,PROV,PRCNCT,CJ,CJ_SV,"2024-06-10 04:55:02",910,872,0,11,27,544,506,0,11,27,505,39,983,439,87,108,291,13,6
30,OLT,"CAMINUL CULTURAL",349,"VALEA MARE",129656,1,PROV,PRCNCT,CJ,CJ_SV,"2024-06-10 05:53:45",694,668,0,23,3,389,363,0,23,3,356,33,730,341,93,180,72,2,9
30,OLT,"CAMINUL CULTURAL",176,DĂNEASA,126585,2,PROV,PRCNCT,CJ,CJ_SV,"2024-06-10 05:20:41",422,401,0,13,8,266,245,0,13,8,257,9,457,191,35,172,9,5,36
30,OLT,"CĂMINUL CULTURAL",285,RADOMIREŞTI,128472,1,PROV,PRCNCT,CJ,CJ_SV,"2024-06-10 05:17:33",269,255,0,5,9,269,255,0,5,9,249,20,539,270,28,181,27,4,9
30,OLT,"CĂMINUL CULTURAL",180,DEVESELU,126647,1,PROV,PRCNCT,CJ,CJ_SV,"2024-06-10 07:08:12",1001,923,1,15,62,734,657,0,15,62,690,44,1084,350,184,354,113,18,21
30,OLT,"CĂMINUL CULTURAL",136,BOBICEŞTI,125873,1,PROV,PRCNCT,CJ,CJ_SV,"2024-06-10 03:21:22",1240,1212,1,8,19,700,673,0,8,19,680,20,1365,665,108,498,30,26,18
30,OLT,"CĂMINUL CULTURAL",266,ORLEA,127938,2,PROV,PRCNCT,CJ,CJ_SV,"2024-06-10 10:25:01",1275,1224,0,8,43,838,787,0,8,43,813,25,1345,507,103,556,126,10,18
30,OLT,"CĂMINUL CULTURAL",328,"ŞTEFAN CEL MARE",129282,2,PROV,PRCNCT,CJ,CJ_SV,"2024-06-10 06:32:55",941,799,1,91,50,724,583,0,91,50,706,18,940,216,59,257,364,2,24
30,OLT,"CĂMINUL CULTURAL",353,VĂDĂSTRIŢA,129745,2,PROV,PRCNCT,CJ,CJ_SV,"2024-06-10 11:11:25",1098,1058,0,31,9,756,716,0,31,9,655,101,1163,407,130,194,193,37,101
30,OLT,"CĂMINUL CULTURAL",145,BUCINIŞU,126077,1,PROV,PRCNCT,CJ,CJ_SV,"2024-06-10 09:13:46",1728,1513,0,162,53,1374,1159,0,162,53,1292,82,1700,326,193,545,505,27,22
30,OLT,"CĂMINUL CULTURAL",354,VĂDĂSTRIŢA,129745,1,PROV,PRCNCT,CJ,CJ_SV,"2024-06-10 09:41:17",1452,1423,0,14,15,1031,1002,0,14,15,945,86,1585,554,152,344,190,50,209
30,OLT,"CĂMINUL CULTURAL",352,VĂDASTRA,129718,1,PROV,PRCNCT,CJ,CJ_SV,"2024-06-10 08:23:49",1084,1016,1,32,35,809,742,0,32,35,772,37,1152,343,59,596,79,23,15
30,OLT,"CĂMINUL CULTURAL",267,ORLEA,127938,1,PROV,PRCNCT,CJ,CJ_SV,"2024-06-10 08:21:34",537,518,1,1,17,380,361,1,1,17,367,12,570,191,24,251,78,8,6
30,OLT,"CĂMINUL CULTURAL",178,DEVESELU,126647,5,PROV,PRCNCT,CJ,CJ_SV,"2024-06-11 20:42:10",1424,1283,0,70,71,994,853,0,70,71,916,59,1489,495,214,449,206,18,29
30,OLT,"CĂMINUL CULTURAL BĂBICIU",125,BĂBICIU,125659,2,PROV,PRCNCT,CJ,CJ_SV,"2024-06-12 19:57:50",722,631,0,39,52,633,542,0,39,52,505,37,745,203,90,308,93,7,7
30,OLT,"CĂMINUL CULTURAL BĂBICIU",126,BĂBICIU,125659,2,PROV,PRCNCT,CJ,CJ_SV,"2024-06-12 19:53:39",1133,997,0,136,0,835,699,0,136,0,809,5,1083,220,103,523,141,15,27
30,OLT,"CAMINUL CULTURAL BOBICESTI",133,BOBICEŞTI,125873,2,PROV,PRCNCT,CJ,CJ_SV,"2024-06-10 04:20:11",864,850,0,8,6,481,467,0,8,6,463,18,936,455,95,307,39,17,5
30,OLT,"CĂMINUL CULTURAL CURTIŞOARA",181,DOBREŢU,126674,1,PROV,PRCNCT,CJ,CJ_SV,"2024-06-10 15:41:10",662,569,0,69,24,491,398,0,69,24,480,11,655,164,36,243,189,7,5
30,OLT,"CĂMINUL CULTURAL ” DAMIAN STĂNOIU”",170,CURTIŞOARA,126433,1,PROV,PRCNCT,CJ,CJ_SV,"2024-06-10 03:06:26",1279,1236,2,19,22,754,712,1,19,22,723,31,1350,596,88,551,45,27,12
30,OLT,"CAMINUL CULTURAL FLORU",230,ICOANA,127322,1,PROV,PRCNCT,CJ,CJ_SV,"2024-06-10 12:36:33",356,336,0,16,4,275,255,0,16,4,262,13,370,95,32,133,86,3,8
30,OLT,"CĂMINUL CULTURAL HOREZU",182,DOBREŢU,126674,1,PROV,PRCNCT,CJ,CJ_SV,"2024-06-10 06:54:24",395,342,0,40,13,317,264,0,40,13,291,26,383,66,43,173,68,6,1
30,OLT,"CAMINUL CULTURAL ILIE MARTIN",155,COLONEŞTI,126228,1,PROV,PRCNCT,CJ,CJ_SV,"2024-06-10 01:54:29",543,501,0,25,17,331,289,0,25,17,331,0,562,231,3,316,0,2,10
30,OLT,"CĂMINUL CULTURAL OPORELU",264,OPORELU,127858,1,PROV,PRCNCT,CJ,CJ_SV,"2024-06-10 08:31:24",1025,840,0,117,68,803,618,0,117,68,745,58,893,90,85,372,251,22,15
30,OLT,"CĂMINUL CULTURAL POGANU",362,VERGULEASA,129816,1,PROV,PRCNCT,CJ,CJ_SV,"2024-06-10 03:35:11",919,876,0,13,30,556,513,0,13,30,535,18,953,400,63,401,50,10,11
30,OLT,"CĂMINUL CULTURAL REDIŞOARA",289,REDEA,128524,2,PROV,PRCNCT,CJ,CJ_SV,"2024-06-10 13:11:52",466,405,1,36,24,312,252,0,36,24,307,5,410,95,37,217,38,9,6
30,OLT,"CĂMINUL CULTURAL SLĂVENI",214,GOSTAVĂŢU,127144,1,PROV,PRCNCT,CJ,CJ_SV,"2024-06-10 07:21:40",1056,1023,2,23,8,722,691,0,23,8,678,41,1136,417,77,422,152,15,12
30,OLT,"CAMINUL CULTURAL SPINENI",309,SPINENI,128962,1,PROV,PRCNCT,CJ,CJ_SV,"2024-06-10 04:05:21",475,387,0,46,42,312,224,0,46,42,306,6,473,161,32,261,0,6,7
30,OLT,"CĂMINUL CULTURAL STOENEŞTI",315,STOENEŞTI,129095,2,PROV,PRCNCT,CJ,CJ_SV,"2024-06-10 14:04:43",1001,939,0,25,37,586,524,0,25,37,548,38,1030,444,97,414,25,8,4
30,OLT,"CĂMINUL CULTURAL ULMI",249,MILCOV,127563,1,PROV,PRCNCT,CJ,CJ_SV,"2024-06-10 04:42:46",551,504,1,26,20,422,376,0,26,20,394,28,593,171,29,186,130,12,37
30,OLT,"CAMINUL CULTURAL URSI",240,LELEASCA,127411,2,PROV,PRCNCT,CJ,CJ_SV,"2024-06-10 08:16:53",381,341,0,37,3,262,222,0,37,3,247,15,386,124,43,120,78,0,6
30,OLT,"CĂMINUL CULTURAL VALEA SOARELUI",290,REDEA,128524,2,PROV,PRCNCT,CJ,CJ_SV,"2024-06-10 22:50:26",236,213,0,7,16,170,147,0,7,16,161,9,230,60,14,102,32,5,8
30,OLT,"CAMINUL CULTURAL VIESPESTI",312,SPRÂNCENATA,129040,2,PROV,PRCNCT,CJ,CJ_SV,"2024-06-12 09:32:03",1058,988,0,48,22,707,637,0,48,22,638,69,1110,403,79,440,107,8,4
30,OLT,"CASA ARMATEI",179,DEVESELU,126647,1,PROV,PRCNCT,CJ,CJ_SV,"2024-06-10 04:08:46",232,205,0,23,4,135,108,0,23,4,127,8,232,97,28,73,19,2,5
30,OLT,"CASA DE CULTURĂ",95,"ORAŞ DRĂGĂNEŞTI-OLT",125622,4,PROV,PRCNCT,CJ,CJ_SV,"2024-06-12 16:58:43",1215,1178,0,20,17,739,702,0,20,17,640,66,1297,558,78,308,241,13,0
30,OLT,"CASA DE CULTURĂ",96,"ORAŞ DRĂGĂNEŞTI-OLT",125622,3,PROV,PRCNCT,CJ,CJ_SV,"2024-06-11 09:55:48",870,846,0,13,11,442,418,0,13,11,388,54,937,495,46,209,121,3,9
30,OLT,"CASA SPECIALISTULUI",357,VĂLENI,129763,1,PROV,PRCNCT,CJ,CJ_SV,"2024-06-10 06:12:52",514,466,0,26,22,365,317,0,26,22,339,26,512,147,58,194,17,8,62
30,OLT,"CENTRU DE PROMOVARE A SĂNĂTĂŢII",273,"OSICA DE SUS",127983,2,PROV,PRCNCT,CJ,CJ_SV,"2024-06-10 06:37:00",491,466,0,15,10,369,344,0,15,10,355,14,510,141,52,198,96,2,7
30,OLT,"CENTRUL CULTURAL MUNICIPAL CARACAL",61,"MUNICIPIUL CARACAL",125472,1,PROV,PRCNCT,CJ,CJ_SV,"2024-06-10 07:46:07",1148,1111,0,20,17,671,634,0,20,17,641,30,1230,559,76,399,100,11,55
30,OLT,"CENTRUL DE ZI PENTRU COPII AFLAȚI ÎN SITUAȚII DE RISC",298,SÂRBII-MĂGURA,130366,1,PROV,PRCNCT,CJ,CJ_SV,"2024-06-10 08:51:04",642,594,0,11,37,445,397,0,11,37,432,13,692,247,53,300,58,17,4
30,OLT,"CENTRUL SOCIAL",152,CEZIENI,126102,1,PROV,PRCNCT,CJ,CJ_SV,"2024-06-10 03:07:08",253,238,0,11,4,253,238,0,11,4,177,14,261,70,21,101,45,6,4
30,OLT,"CENTRUL SOCIAL DĂNEASA",173,DĂNEASA,126585,5,PROV,PRCNCT,CJ,CJ_SV,"2024-06-12 15:42:10",1139,1080,4,26,29,696,641,0,26,29,681,15,1220,523,77,449,23,23,109
30,OLT,"CENTRU SOCIAL",218,GRĂDINILE,130320,1,PROV,PRCNCT,CJ,CJ_SV,"2024-06-10 04:09:48",1224,1177,0,7,40,813,766,0,7,40,796,17,1286,473,64,682,26,11,13
30,OLT,"COLEGIUL NAŢIONALAL I.CUZA",85,"ORAŞ CORABIA",125542,2,PROV,PRCNCT,CJ,CJ_SV,"2024-06-11 15:29:03",1119,1112,0,7,0,565,558,0,7,0,528,30,1208,643,72,285,111,16,44
30,OLT,"COLEGIUL NAŢIONALAL I.CUZA",84,"ORAŞ CORABIA",125542,1,PROV,PRCNCT,CJ,CJ_SV,"2024-06-10 05:13:44",846,837,2,7,0,396,389,0,7,0,377,19,938,542,48,197,78,6,48
30,OLT,"COLEGIUL NAŢIONAL ION MINULESCU",8,"MUNICIPIUL SLATINA",125347,1,PROV,PRCNCT,CJ,CJ_SV,"2024-06-10 06:34:12",1369,1350,3,16,0,765,749,0,16,0,752,13,1482,717,65,359,232,20,76
30,OLT,"COLEGIUL NAŢIONAL ION MINULESCU",6,"MUNICIPIUL SLATINA",125347,1,PROV,PRCNCT,CJ,CJ_SV,"2024-06-10 05:39:46",1338,1324,2,7,5,640,628,0,7,5,622,18,1476,836,78,263,190,19,72
30,OLT,"COLEGIUL NAŢIONAL ION MINULESCU",9,"MUNICIPIUL SLATINA",125347,2,PROV,PRCNCT,CJ,CJ_SV,"2024-06-10 15:02:58",1312,1307,0,5,0,707,702,0,5,0,691,16,1436,729,80,327,174,33,77
30,OLT,"COLEGIUL NAŢIONAL ION MINULESCU",7,"MUNICIPIUL SLATINA",125347,2,PROV,PRCNCT,CJ,CJ_SV,"2024-06-10 13:20:00",1468,1465,0,3,0,713,710,0,3,0,645,68,1612,899,72,271,208,30,64
30,OLT,"COLEGIUL NAŢIONAL RADU GRECEANU",2,"MUNICIPIUL SLATINA",125347,1,PROV,PRCNCT,CJ,CJ_SV,"2024-06-10 07:51:27",1486,1472,6,5,3,768,760,0,5,3,744,24,1657,889,91,383,205,24,41
30,OLT,"COLEGIUL NAŢIONAL RADU GRECEANU",1,"MUNICIPIUL SLATINA",125347,1,PROV,PRCNCT,CJ,CJ_SV,"2024-06-10 05:59:23",1278,1266,2,9,1,629,619,0,9,1,609,20,1402,773,70,278,201,7,53
30,OLT,"COLEGIUL NAŢIONAL RADU GRECEANU",3,"MUNICIPIUL SLATINA",125347,2,PROV,PRCNCT,CJ,CJ_SV,"2024-06-10 21:03:26",1871,1862,0,9,0,917,908,0,9,0,856,61,2042,1125,63,620,137,19,17
30,OLT,"COLEGIUL TEHNIC",76,"ORAŞ BALŞ",125418,2,PROV,PRCNCT,CJ,CJ_SV,"2024-06-11 20:14:51",1345,1325,0,16,4,574,554,0,16,4,533,21,1446,871,85,297,114,11,26
30,OLT,"COLEGIUL TEHNIC",77,"ORAŞ BALŞ",125418,1,PROV,PRCNCT,CJ,CJ_SV,"2024-06-10 05:50:58",1348,1327,1,17,3,595,575,0,17,3,570,22,1449,854,83,330,89,28,40
30,OLT,"FOSTA SC. CU CLASELE I-IV PRISACA",377,VULPENI,130124,2,PROV,PRCNCT,CJ,CJ_SV,"2024-06-10 05:03:08",314,289,0,15,10,186,161,0,15,10,171,15,325,139,23,102,14,11,21
30,OLT,"GPN BIRSESTII DE SUS",313,SPRÂNCENATA,129040,2,PROV,PRCNCT,CJ,CJ_SV,"2024-06-12 10:05:08",392,325,0,62,5,287,220,0,62,5,265,22,360,73,30,149,78,5,3
30,OLT,GRADINITA,335,"TIA MARE",129460,1,PROV,PRCNCT,CJ,CJ_SV,"2024-06-10 05:02:13",1207,1192,0,7,8,763,748,0,7,8,738,25,1310,547,50,474,26,16,172
30,OLT,GRADINITA,337,"TIA MARE",129460,1,PROV,PRCNCT,CJ,CJ_SV,"2024-06-10 04:30:05",1195,1187,0,0,8,681,673,0,0,8,659,22,1307,626,68,488,20,17,66
30,OLT,GRADINITA,351,"VALEA MARE",129656,1,PROV,PRCNCT,CJ,CJ_SV,"2024-06-10 04:24:06",509,489,0,16,4,328,308,0,16,4,317,11,535,207,76,173,50,9,9
30,OLT,GRĂDINIŢĂ,124,BALDOVINEŞTI,125677,2,PROV,PRCNCT,CJ,CJ_SV,"2024-06-10 23:04:35",278,259,0,7,12,183,164,0,7,12,179,4,291,108,9,163,4,2,1
