precinct_county_nce,precinct_county_name,precinct_name,precinct_nr,uat_name,uat_siruta,report_version,report_stage_code,report_type_scope_code,report_type_category_code,report_type_code,created_at,a,a1,a2,a3,a4,b,b1,b2,b3,b4,c,d,e,f,"TONŢA VASILE-PĂUNEL-PARTIDUL SOCIAL DEMOCRAT-voturi","GOLEA NICOLAE-MIRON-PARTIDUL NAȚIONAL LIBERAL-voturi"
2,ARAD,"CĂMINUL CULTURAL SÂRBI",292,HĂLMĂGEL,11174,1,PART,PRCNCT,P,P_SV,"2024-06-10 02:43:51",85,70,0,10,5,73,58,0,10,5,72,1,80,7,17,55
2,ARAD,"PRIMĂRIA COMUNEI HĂLMĂGEL",290,HĂLMĂGEL,11174,1,PART,PRCNCT,P,P_SV,"2024-06-10 05:38:13",376,324,0,24,28,376,324,0,24,28,369,7,480,104,180,189
2,ARAD,"ŞCOALA PRIMARĂ LUNCŞOARA",291,HĂLMĂGEL,11174,1,PART,PRCNCT,P,P_SV,"2024-06-10 05:45:18",255,241,0,5,9,198,184,0,5,9,189,9,270,72,118,71
2,ARAD,"ŞCOALA PRIMARĂ TÂRNĂVIŢA",293,HĂLMĂGEL,11174,1,PART,PRCNCT,P,P_SV,"2024-06-10 00:38:13",109,93,0,12,4,99,83,0,12,4,99,0,105,6,46,53
