precinct_county_nce,precinct_county_name,precinct_name,precinct_nr,uat_name,uat_siruta,report_version,report_stage_code,report_type_scope_code,report_type_category_code,report_type_code,created_at,a,a1,a2,a3,a4,b,b1,b2,b3,b4,c,d,e,f,"ALIANȚA PENTRU UNIREA ROMÂNILOR-voturi","PARTIDUL SOCIAL DEMOCRAT-voturi","PARTIDUL NAȚIONAL LIBERAL-voturi","ALIANȚA DREAPTA UNITĂ USR - PMP-voturi","ACȚIUNEA CONSERVATORILOR ROMÂNI-voturi"
20,GORJ,"PRIMĂRIA COMUNEI BĂLĂNEȘTI",136,BĂLĂNEŞTI,78748,1,PART,PRCNCT,CL,CL_SV,"2024-06-10 04:44:42",499,468,0,21,10,354,323,0,21,10,341,13,500,146,51,235,37,11,7
20,GORJ,"ȘCOALA PRIMARĂ BĂLANEȘTI",137,BĂLĂNEŞTI,78748,2,PART,PRCNCT,CL,CL_SV,"2024-06-11 23:02:10",678,646,1,18,13,478,447,0,18,13,466,12,700,222,115,244,84,20,3
20,GORJ,"ȘCOALA PRIMARĂ GLODENI",138,BĂLĂNEŞTI,78748,2,PART,PRCNCT,CL,CL_SV,"2024-06-11 23:09:17",640,619,0,10,11,435,414,0,10,11,419,16,736,301,59,251,48,52,9
