precinct_county_nce,precinct_county_name,precinct_name,precinct_nr,uat_name,uat_siruta,report_version,report_stage_code,report_type_scope_code,report_type_category_code,report_type_code,created_at,a,a1,a2,a3,a4,b,b1,b2,b3,b4,c,d,e,f,"ALIANȚA PENTRU UNIREA ROMÂNILOR-voturi","PARTIDUL NAȚIONAL LIBERAL-voturi","PARTIDUL SOCIAL DEMOCRAT-voturi","PARTIDUL S.O.S. ROMÂNIA-voturi","PARTIDUL ALTERNATIVA DREAPTĂ-voturi","ALIANȚA DREAPTA UNITĂ USR - PMP - FORȚA DREPTEI-voturi","PARTIDUL ECOLOGIST ROMÂN-voturi","PARTIDUL UMANIST SOCIAL LIBERAL-voturi"
14,CONSTANŢA,"AGENȚIA FISCALĂ NR.1-4",135,"MUNICIPIUL CONSTANŢA",60419,1,PROV,PRCNCT,CJ,CJ_SV,"2024-06-10 03:48:36",1364,1360,0,3,1,617,613,0,3,1,611,6,1500,883,84,198,116,25,18,129,27,14
14,CONSTANŢA,"AGENȚIA FISCALĂ NR.1-4",134,"MUNICIPIUL CONSTANŢA",60419,1,PROV,PRCNCT,CJ,CJ_SV,"2024-06-10 04:14:33",1574,1562,0,12,0,688,676,0,12,0,663,25,1700,1012,79,203,112,24,16,185,28,16
14,CONSTANŢA,"ANEXĂ A ȘCOLII GIMNAZIALE NR.1 SILIȘTEA-SALA 9",539,SILIŞTEA,62949,1,PROV,PRCNCT,CJ,CJ_SV,"2024-06-10 10:12:55",600,589,1,10,0,407,397,0,10,0,387,10,700,303,104,93,155,10,1,22,1,1
14,CONSTANŢA,"ANEXA - COLEGIUL NAȚIONAL ”KEMAL ATATURK”",260,"MUNICIPIUL MEDGIDIA",60847,1,PROV,PRCNCT,CJ,CJ_SV,"2024-06-10 01:45:34",833,823,2,8,0,317,309,0,8,0,293,24,900,583,29,123,80,27,5,18,3,8
14,CONSTANŢA,"ANEXA - COLEGIUL NAȚIONAL ”KEMAL ATATURK”",261,"MUNICIPIUL MEDGIDIA",60847,1,PROV,PRCNCT,CJ,CJ_SV,"2024-06-10 02:32:38",729,722,0,7,0,316,309,0,7,0,301,15,800,484,33,144,64,20,4,14,11,11
14,CONSTANŢA,"ANEXĂ LA COLEGIUL NAŢIONAL ”MIRCEA CEL BĂTRÂN”",200,"MUNICIPIUL CONSTANŢA",60419,1,PROV,PRCNCT,CJ,CJ_SV,"2024-06-10 03:38:05",573,562,3,8,0,265,257,0,8,0,260,5,800,535,25,61,36,7,9,98,17,7
14,CONSTANŢA,"ANEXĂ LA COLEGIUL NAŢIONAL ”MIRCEA CEL BĂTRÂN”",199,"MUNICIPIUL CONSTANŢA",60419,1,PROV,PRCNCT,CJ,CJ_SV,"2024-06-10 11:01:50",582,572,0,10,0,258,248,0,10,0,247,10,800,543,31,77,54,4,3,60,9,9
14,CONSTANŢA,"ANEXA LICEULUI TEHNOLOGIC ”NICOLAE DUMITRESCU”",430,CUMPĂNA,61620,1,PROV,PRCNCT,CJ,CJ_SV,"2024-06-10 11:17:44",1923,1911,3,7,2,958,949,0,7,2,943,15,2000,1042,175,199,354,45,8,130,21,11
14,CONSTANŢA,"ANEXĂ ŞCOALA GIMNAZIALĂ NR.8",34,"MUNICIPIUL CONSTANŢA",60419,1,PROV,PRCNCT,CJ,CJ_SV,"2024-06-10 05:55:47",1224,1220,1,3,0,448,445,0,3,0,436,12,1400,952,111,84,132,27,5,54,13,10
14,CONSTANŢA,"ANEXĂ ŞCOALA GIMNAZIALĂ NR.8",35,"MUNICIPIUL CONSTANŢA",60419,1,PROV,PRCNCT,CJ,CJ_SV,"2024-06-10 07:08:23",1044,1040,0,4,0,418,414,0,4,0,404,14,1100,682,79,103,94,24,8,66,20,10
14,CONSTANŢA,"ANEXĂ ŞCOALA GIMNAZIALĂ NR.8",37,"MUNICIPIUL CONSTANŢA",60419,1,PROV,PRCNCT,CJ,CJ_SV,"2024-06-10 04:28:25",1726,1720,0,6,0,690,684,0,6,0,668,22,1900,1210,112,165,165,36,24,116,28,22
14,CONSTANŢA,"ANEXĂ ŞCOALA GIMNAZIALĂ NR.8",36,"MUNICIPIUL CONSTANŢA",60419,1,PROV,PRCNCT,CJ,CJ_SV,"2024-06-10 03:42:47",1107,1104,0,3,0,450,447,0,3,0,441,9,1200,750,62,116,111,27,9,81,29,6
14,CONSTANŢA,"ANEXĂ ŞCOALA GIMNAZIALĂ NR.8",33,"MUNICIPIUL CONSTANŢA",60419,1,PROV,PRCNCT,CJ,CJ_SV,"2024-06-10 06:19:23",1521,1515,1,5,0,620,615,0,5,0,594,26,1700,1080,87,156,139,20,11,134,28,19
14,CONSTANŢA,"ANEXĂ ŞCOALA GIMNAZIALĂ NR.8",32,"MUNICIPIUL CONSTANŢA",60419,1,PROV,PRCNCT,CJ,CJ_SV,"2024-06-10 02:13:35",835,832,0,3,0,371,368,0,3,0,353,18,900,529,37,110,86,16,4,64,24,12
14,CONSTANŢA,"ANEXA SEDIUL ADMINISTRATIV PRIMĂRIA COMUNEI CASTELU-SALA DE FESTIVITĂȚI 1",384,CASTELU,61121,1,PROV,PRCNCT,CJ,CJ_SV,"2024-06-10 06:51:47",1207,1189,3,9,6,707,691,1,9,6,653,54,1300,593,62,373,180,18,2,12,2,4
14,CONSTANŢA,"ANEXA SEDIUL ADMINISTRATIV PRIMĂRIA COMUNEI CASTELU-SALA DE FESTIVITĂȚI 2",385,CASTELU,61121,1,PROV,PRCNCT,CJ,CJ_SV,"2024-06-10 07:29:22",1465,1449,0,5,11,829,813,0,5,11,747,82,1600,771,49,390,270,12,1,15,7,3
14,CONSTANŢA,"ATELIER ŞCOALĂ",202,"MUNICIPIUL CONSTANŢA",60419,1,PROV,PRCNCT,CJ,CJ_SV,"2024-06-10 05:03:53",688,680,1,7,0,316,309,0,7,0,301,15,700,384,41,92,67,15,10,57,15,4
14,CONSTANŢA,"BAROUL CONSTANȚA",14,"MUNICIPIUL CONSTANŢA",60419,1,PROV,PRCNCT,CJ,CJ_SV,"2024-06-10 04:54:40",608,600,0,8,0,256,248,0,8,0,250,6,700,444,32,78,46,12,2,51,20,9
14,CONSTANŢA,"BAROUL CONSTANȚA",15,"MUNICIPIUL CONSTANŢA",60419,1,PROV,PRCNCT,CJ,CJ_SV,"2024-06-10 01:50:53",786,779,0,7,0,323,316,0,7,0,312,11,800,477,49,94,51,13,8,79,9,9
14,CONSTANŢA,"BAZA SPORTIVĂ MARINA",236,"MUNICIPIUL MANGALIA",60482,1,PROV,PRCNCT,CJ,CJ_SV,"2024-06-10 08:04:24",655,640,7,8,0,400,392,0,8,0,393,7,700,298,82,103,101,23,6,45,16,17
14,CONSTANŢA,"CĂMIN CULTURAL",454,INDEPENDENŢA,61871,1,PROV,PRCNCT,CJ,CJ_SV,"2024-06-10 02:38:20",308,298,0,2,8,197,187,0,2,8,168,19,300,113,27,77,15,0,1,47,0,1
14,CONSTANŢA,"CĂMIN CULTURAL ADAMCLISI",357,ADAMCLISI,60883,1,PROV,PRCNCT,CJ,CJ_SV,"2024-06-10 04:57:48",976,906,1,55,14,673,604,0,55,14,634,39,988,315,91,237,200,23,6,62,8,7
14,CONSTANŢA,"CĂMIN CULTURAL ALMĂLĂU",508,OSTROV,62538,1,PROV,PRCNCT,CJ,CJ_SV,"2024-06-10 03:59:18",639,628,1,10,0,349,339,0,10,0,325,20,700,355,53,148,97,11,0,11,2,3
14,CONSTANŢA,"CAMIN CULTURAL BUGEAC",509,OSTROV,62538,1,PROV,PRCNCT,CJ,CJ_SV,"2024-06-10 01:09:58",150,142,0,8,0,85,77,0,8,0,80,5,200,115,20,24,33,1,0,2,0,0
14,CONSTANŢA,"CĂMIN CULTURAL COBADIN",399,COBADIN,61318,1,PROV,PRCNCT,CJ,CJ_SV,"2024-06-10 11:55:46",1939,1921,0,3,15,912,894,0,3,15,866,46,2000,1072,108,374,298,13,11,48,7,7
14,CONSTANŢA,"CĂMIN CULTURAL CORBU DE SUS",414,CORBU,61513,1,PROV,PRCNCT,CJ,CJ_SV,"2024-06-10 11:12:45",1816,1788,12,10,6,953,938,1,10,4,922,31,1900,947,192,203,422,40,9,34,11,11
14,CONSTANŢA,"CAMIN CULTURAL CRUCEA",418,CRUCEA,61559,1,PROV,PRCNCT,CJ,CJ_SV,"2024-06-10 03:54:42",862,861,0,0,1,513,512,0,0,1,476,37,892,379,38,326,89,10,2,6,3,2
14,CONSTANŢA,"CĂMIN CULTURAL ESECHIOI",510,OSTROV,62538,1,PROV,PRCNCT,CJ,CJ_SV,"2024-06-10 00:42:03",196,184,0,12,0,113,101,0,12,0,106,7,200,87,10,22,71,2,0,1,0,0
14,CONSTANŢA,"CAMIN CULTURALGĂLBIORI",421,CRUCEA,61559,1,PROV,PRCNCT,CJ,CJ_SV,"2024-06-10 00:40:53",254,249,0,3,2,157,152,0,3,2,150,7,300,143,14,118,10,2,1,4,0,1
