precinct_county_nce,precinct_county_name,precinct_name,precinct_nr,uat_name,uat_siruta,report_version,report_stage_code,report_type_scope_code,report_type_category_code,report_type_code,created_at,a,a1,a2,a3,a4,b,b1,b2,b3,b4,c,d,e,f,"UNIUNEA SALVAȚI ROMÂNIA-voturi","PARTIDUL SOCIAL DEMOCRAT-voturi","ALIANȚA PENTRU UNIREA ROMÂNILOR-voturi","UNIUNEA DEMOCRATĂ MAGHIARĂ DIN ROMÂNIA-voturi","PARTIDUL NAȚIONAL LIBERAL-voturi","PARTIDUL PRO ROMÂNIA-voturi","PARTIDUL S.O.S. ROMÂNIA-voturi","FORȚA DREPTEI-voturi","PARTIDUL ROMÂNIA MARE-voturi"
28,MUREŞ,"CĂMIN CULTURAL DELENI",430,"IDECIU DE JOS",117783,2,PART,PRCNCT,CL,CL_SV,"2024-06-10 04:38:40",211,194,0,9,8,161,144,0,9,8,155,6,210,49,7,20,30,2,76,2,0,18,0
28,MUREŞ,"CĂMIN CULTURAL IDECIU DE SUS",431,"IDECIU DE JOS",117783,1,PART,PRCNCT,CL,CL_SV,"2024-06-10 03:16:04",747,721,1,9,16,393,368,0,9,16,378,15,766,373,17,32,46,15,242,5,10,1,10
28,MUREŞ,"ȘCOALA GIMNAZIALĂ IDECIU DE JOS",429,"IDECIU DE JOS",117783,2,PART,PRCNCT,CL,CL_SV,"2024-06-10 06:11:21",882,795,4,36,47,622,536,3,36,47,602,20,971,349,60,84,47,40,208,40,99,8,16
