precinct_county_nce,precinct_county_name,precinct_name,precinct_nr,uat_name,uat_siruta,report_version,report_stage_code,report_type_scope_code,report_type_category_code,report_type_code,created_at,a,a1,a2,a3,a4,b,b1,b2,b3,b4,c,d,e,f,"PARTIDUL SOCIAL DEMOCRAT-voturi","PARTIDUL NAȚIONAL LIBERAL-voturi","ALIANȚA DREAPTA UNITĂ USR - PMP - FORȚA DREPTEI-voturi","PARTIDUL ROMÂNIA ÎN ACȚIUNE-voturi","PARTIDUL UMANIST SOCIAL LIBERAL-voturi"
31,PRAHOVA,"CENTRUL CULTURAL BABA ANA",304,"BABA ANA",132164,1,PART,PRCNCT,CL,CL_SV,"2024-06-10 09:01:52",1499,1496,0,3,0,816,813,0,3,0,765,51,1609,793,176,374,39,46,130
31,PRAHOVA,"CONTAINER MOBIL AMPLASAT IN CURTEA SCOLII CU CLS. I-IV SATU NOU",307,"BABA ANA",132164,1,PROV,PRCNCT,CL,CL_SV,"2024-06-10 02:37:26",101,92,0,9,0,55,46,0,9,0,51,4,100,45,13,26,4,0,8
31,PRAHOVA,"SCOALA GIMNAZIALĂ CIREŞANU",305,"BABA ANA",132164,1,PROV,PRCNCT,CL,CL_SV,"2024-06-10 05:31:33",661,644,0,17,0,375,358,0,17,0,353,18,709,334,72,151,96,7,27
31,PRAHOVA,"SCOALA GIMNAZIALĂ CONDURATU",306,"BABA ANA",132164,1,PART,PRCNCT,CL,CL_SV,"2024-06-10 03:56:31",993,977,1,15,0,520,505,0,15,0,493,27,1109,589,74,364,23,12,20
