precinct_county_nce,precinct_county_name,precinct_name,precinct_nr,uat_name,uat_siruta,report_version,report_stage_code,report_type_scope_code,report_type_category_code,report_type_code,created_at,a,a1,a2,a3,a4,b,b1,b2,b3,b4,c,d,e,f,"BANTO ZOLTÁN-UNIUNEA DEMOCRATĂ MAGHIARĂ DIN ROMÂNIA-voturi"
33,SĂLAJ,"CĂMIN CULTURAL",284,ŞAMŞUD,142854,1,PART,PRCNCT,P,P_SV,"2024-06-10 01:42:37",899,859,1,0,39,543,504,1,0,38,503,39,968,426,503
33,SĂLAJ,"CENTRUL DE INFORMARE ŞI PROMOVARE TURISTICĂ VALEA POMILOR",285,ŞAMŞUD,142854,1,PART,PRCNCT,P,P_SV,"2024-06-10 01:33:59",514,493,1,3,17,264,243,1,3,17,245,19,550,286,245
