precinct_county_nce,precinct_county_name,precinct_name,precinct_nr,uat_name,uat_siruta,report_version,report_stage_code,report_type_scope_code,report_type_category_code,report_type_code,created_at,a,a1,a2,a3,a4,b,b1,b2,b3,b4,c,d,e,f,"PARTIDUL NAȚIONAL LIBERAL-voturi","ALIANȚA PENTRU UNIREA ROMÂNILOR-voturi","UNIUNEA UCRAINENILOR DIN ROMÂNIA-voturi","PARTIDUL SOCIAL DEMOCRAT-voturi","PARTIDUL PRO ROMÂNIA-voturi","ALIANȚA DREAPTA UNITĂ USR - PMP - FORȚA DREPTEI-voturi","PARTIDUL UMANIST SOCIAL LIBERAL-voturi","PLEŞA TRAIAN-ADRIAN-voturi"
11,CARAŞ-SEVERIN,"CĂMINUL CULTURAL JUPA",91,"MUNICIPIUL CARANSEBEŞ",51010,1,PART,PRCNCT,CL,CL_SV,"2024-06-10 03:39:13",535,526,2,7,0,310,303,0,7,0,298,12,583,273,85,58,13,84,22,20,1,15
11,CARAŞ-SEVERIN,"CASA MUNICIPALĂ DE CULTURĂ ”GEORGE SURU”",76,"MUNICIPIUL CARANSEBEŞ",51010,1,PART,PRCNCT,CL,CL_SV,"2024-06-10 12:35:32",1170,1152,7,10,1,564,553,0,10,1,545,19,1278,714,139,56,6,177,43,78,10,36
11,CARAŞ-SEVERIN,"CLĂDIRE A MUNICIPIULUI CARANSEBEȘ (FOSTA ȘCOALĂ GENERALĂ NR. 7)",78,"MUNICIPIUL CARANSEBEŞ",51010,2,PART,PRCNCT,CL,CL_SV,"2024-06-11 19:56:16",1262,1229,0,15,18,475,442,0,15,18,453,13,1363,897,170,59,6,129,27,26,3,33
11,CARAŞ-SEVERIN,"CLĂDIRE A MUNICIPIULUI CARANSEBEȘ (FOSTA ȘCOALĂ GENERALĂ NR.7)",79,"MUNICIPIUL CARANSEBEŞ",51010,2,PART,PRCNCT,CL,CL_SV,"2024-06-11 20:02:39",1051,1043,1,6,1,375,368,0,6,1,357,18,1150,775,112,36,12,119,16,32,5,25
11,CARAŞ-SEVERIN,"CLĂDIRE A MUNICIPIULUI CARANSEBEȘ (FOSTA ȘCOALĂ PRIMARĂ)",71,"MUNICIPIUL CARANSEBEŞ",51010,4,PART,PRCNCT,CL,CL_SV,"2024-06-10 17:29:57",1176,1163,2,11,0,516,504,1,11,0,493,23,1285,769,183,89,4,133,19,30,4,31
11,CARAŞ-SEVERIN,"CLUBUL SPORTIV ȘCOLAR",80,"MUNICIPIUL CARANSEBEŞ",51010,1,PART,PRCNCT,CL,CL_SV,"2024-06-10 07:39:51",1067,1054,1,12,0,392,380,0,12,0,378,14,1164,772,127,39,9,130,23,26,4,20
11,CARAŞ-SEVERIN,"COLEGIUL NAȚIONAL ”C.D. LOGA”",87,"MUNICIPIUL CARANSEBEŞ",51010,3,PART,PRCNCT,CL,CL_SV,"2024-06-10 18:42:30",1562,1555,4,3,0,604,601,0,3,0,570,34,1722,1118,196,56,19,154,27,51,14,53
11,CARAŞ-SEVERIN,"COLEGIUL NAȚIONAL „TRAIAN DODA” CARANSEBEȘ, CORP B",73,"MUNICIPIUL CARANSEBEŞ",51010,1,PART,PRCNCT,CL,CL_SV,"2024-06-10 05:10:40",1395,1373,4,12,6,591,573,0,12,6,570,21,1518,927,150,55,17,180,24,87,4,53
11,CARAŞ-SEVERIN,"GRĂDINIȚA CU PROGRAM NORMAL NR. 3",72,"MUNICIPIUL CARANSEBEŞ",51010,2,PART,PRCNCT,CL,CL_SV,"2024-06-11 19:36:51",552,541,4,7,0,262,255,0,7,0,244,18,598,336,76,31,1,73,6,31,5,21
11,CARAŞ-SEVERIN,"GRĂDINIŢA CU PROGRAM NORMAL NR.4",81,"MUNICIPIUL CARANSEBEŞ",51010,1,PART,PRCNCT,CL,CL_SV,"2024-06-10 11:20:27",1053,1046,0,7,0,394,387,0,7,0,379,15,1162,768,129,43,6,116,22,31,7,25
11,CARAŞ-SEVERIN,"GRĂDINIȚA CU PROGRAM NORMAL NR.5",88,"MUNICIPIUL CARANSEBEŞ",51010,2,PART,PRCNCT,CL,CL_SV,"2024-06-10 06:54:07",1194,1179,5,9,1,428,418,0,9,1,410,8,1309,891,125,42,14,124,33,43,4,25
11,CARAŞ-SEVERIN,"GRĂDINIȚA CU PROGRAM PRELUNGIT NR. 1 CARANSEBEȘ",77,"MUNICIPIUL CARANSEBEŞ",51010,1,PART,PRCNCT,CL,CL_SV,"2024-06-10 08:58:43",1597,1576,1,9,11,650,630,0,9,11,619,28,1737,1087,190,73,19,204,34,55,7,37
11,CARAŞ-SEVERIN,"LICEUL TEHNOLOGIC ”DACIA”",75,"MUNICIPIUL CARANSEBEŞ",51010,1,PART,PRCNCT,CL,CL_SV,"2024-06-10 10:11:28",1386,1370,3,13,0,569,556,0,13,0,551,18,1514,945,150,46,16,211,19,61,8,40
11,CARAŞ-SEVERIN,"LICEUL TEHNOLOGIC „DACIA” CARANSEBEȘ, CORP B",89,"MUNICIPIUL CARANSEBEŞ",51010,1,PART,PRCNCT,CL,CL_SV,"2024-06-10 04:53:12",737,731,1,5,0,317,313,0,4,0,297,20,810,493,141,29,6,68,11,22,0,20
11,CARAŞ-SEVERIN,"LICEUL TEHNOLOGIC ”DECEBAL”",86,"MUNICIPIUL CARANSEBEŞ",51010,1,PART,PRCNCT,CL,CL_SV,"2024-06-10 06:33:12",1346,1338,1,7,0,540,533,0,7,0,510,30,1485,945,146,43,17,163,54,44,5,38
11,CARAŞ-SEVERIN,"LICEUL TEHNOLOGIC ”DECEBAL”",84,"MUNICIPIUL CARANSEBEŞ",51010,3,PART,PRCNCT,CL,CL_SV,"2024-06-11 20:19:06",1265,1253,2,10,0,451,441,0,10,0,423,28,1383,932,124,43,10,146,38,28,6,28
11,CARAŞ-SEVERIN,"LICEUL TEHNOLOGIC ”DECEBAL”",85,"MUNICIPIUL CARANSEBEŞ",51010,2,PART,PRCNCT,CL,CL_SV,"2024-06-11 20:23:36",1267,1259,2,6,0,395,389,0,6,0,377,18,1390,995,101,61,8,141,29,21,3,13
11,CARAŞ-SEVERIN,"ȘCOALA GIMNAZIALĂ NR. 1",90,"MUNICIPIUL CARANSEBEŞ",51010,2,PART,PRCNCT,CL,CL_SV,"2024-06-10 16:28:55",968,958,0,5,5,410,400,0,5,5,389,21,1056,636,180,49,1,108,18,14,2,17
11,CARAŞ-SEVERIN,"ȘCOALA GIMNAZIALĂ NR. 2",82,"MUNICIPIUL CARANSEBEŞ",51010,2,PART,PRCNCT,CL,CL_SV,"2024-06-10 13:46:00",1359,1348,1,10,0,543,533,0,10,0,515,27,1487,945,145,63,15,164,48,40,9,31
11,CARAŞ-SEVERIN,"ȘCOALA GIMNAZIALĂ NR. 2",83,"MUNICIPIUL CARANSEBEŞ",51010,1,PART,PRCNCT,CL,CL_SV,"2024-06-10 05:21:06",993,981,2,10,0,430,420,0,10,0,404,26,1084,654,96,40,12,147,58,30,2,19
11,CARAŞ-SEVERIN,"ȘCOALA GIMNAZIALĂ NR. 8",74,"MUNICIPIUL CARANSEBEŞ",51010,1,PART,PRCNCT,CL,CL_SV,"2024-06-10 10:07:15",1003,990,0,12,1,391,378,0,12,1,371,17,1097,708,117,21,5,124,27,42,4,31
