precinct_county_nce,precinct_county_name,precinct_name,precinct_nr,uat_name,uat_siruta,report_version,report_stage_code,report_type_scope_code,report_type_category_code,report_type_code,created_at,a,a1,a2,a3,a4,b,b1,b2,b3,b4,c,d,e,f,"PARTIDUL SOCIAL DEMOCRAT-voturi","ALIANȚA PENTRU UNIREA ROMÂNILOR-voturi","PARTIDUL NAȚIONAL LIBERAL-voturi","PARTIDUL PRO ROMÂNIA-voturi","ROMÂNIA SOCIALISTĂ-voturi","PARTIDUL S.O.S. ROMÂNIA-voturi","ALIANȚA DREAPTA UNITĂ USR - PMP - FORȚA DREPTEI-voturi","PARTIDUL NAȚIONAL CONSERVATOR ROMÂN-voturi","PARTIDUL ROMÂNIA MARE-voturi","PARTIDUL CONSERVATOR DEMOCRAT-voturi","PACT PENTRU GALAȚI-voturi","ALIANȚA NAȚIONAL ȚĂRĂNISTĂ-voturi","PARTIDUL UMANIST SOCIAL LIBERAL-voturi","PARTIDUL PATRIOȚILOR-voturi","BĂDIŢĂ RAABIS-ŞTEFAN-voturi","DERMENGI MIHAI-voturi"
18,GALAŢI,"COLEGIUL DE INDUSTRIE ALIMENTARĂ ”ELENA DOAMNA” (GRUP ȘCOLAR ”ELENA DOAMNA”)",43,"MUNICIPIUL GALAŢI",75098,1,PROV,PRCNCT,CL,CL_SV,"2024-06-10 06:02:55",1572,1541,0,12,19,537,506,0,12,19,516,21,600,63,226,51,43,8,8,21,52,0,6,6,59,1,22,1,8,4
18,GALAŢI,"COLEGIUL DE INDUSTRIE ALIMENTARĂ ”ELENA DOAMNA” (GRUP ȘCOLAR ”ELENA DOAMNA”)",42,"MUNICIPIUL GALAŢI",75098,1,PART,PRCNCT,CL,CL_SV,"2024-06-10 03:40:58",1731,1714,1,11,5,605,588,1,11,5,585,20,2000,1395,261,48,70,5,6,15,64,5,1,4,54,12,35,0,3,2
18,GALAŢI,"COLEGIUL ECONOMIC ”VIRGIL MADGEARU” (GRUP ȘCOLAR ECONOMIC ADMINISTRATIV ”VIRGIL MADGEARU”)",59,"MUNICIPIUL GALAŢI",75098,1,PROV,PRCNCT,CL,CL_SV,"2024-06-10 04:42:03",1772,1762,0,10,0,651,641,0,10,0,637,14,2000,1349,351,50,61,12,3,20,48,1,2,1,49,4,20,4,6,5
18,GALAŢI,"COLEGIUL ECONOMIC ”VIRGIL MADGEARU” (GRUP ȘCOLAR ECONOMIC ADMINISTRATIV ”VIRGIL MADGEARU”)",58,"MUNICIPIUL GALAŢI",75098,1,PART,PRCNCT,CL,CL_SV,"2024-06-10 04:25:50",1944,1916,0,6,22,459,431,0,6,22,443,16,2000,1541,257,39,27,4,2,10,33,3,0,1,37,2,16,3,6,3
18,GALAŢI,"COLEGIUL ECONOMIC ”VIRGIL MADGEARU” (GRUP ȘCOLAR ECONOMIC ADMINISTRATIV ”VIRGIL MADGEARU”)",55,"MUNICIPIUL GALAŢI",75098,1,PART,PRCNCT,CL,CL_SV,"2024-06-10 03:00:18",1937,1899,0,7,31,223,185,0,7,31,214,9,2000,1777,93,30,15,3,0,16,13,0,0,1,20,0,16,2,3,2
18,GALAŢI,"COLEGIUL ECONOMIC ”VIRGIL MADGEARU” (GRUP ȘCOLAR ECONOMIC ADMINISTRATIV ”VIRGIL MADGEARU”)",56,"MUNICIPIUL GALAŢI",75098,1,PROV,PRCNCT,CL,CL_SV,"2024-06-10 05:46:12",1897,1843,0,4,50,158,104,0,4,50,134,24,2000,1836,56,13,11,2,0,4,14,0,1,3,20,0,3,1,3,3
18,GALAŢI,"COLEGIUL ECONOMIC ”VIRGIL MADGEARU” (GRUP ȘCOLAR ECONOMIC ADMINISTRATIV ”VIRGIL MADGEARU”)",57,"MUNICIPIUL GALAŢI",75098,1,PART,PRCNCT,CL,CL_SV,"2024-06-10 04:17:18",1848,1811,0,5,32,139,102,0,5,32,132,5,2000,1860,68,14,10,2,0,4,10,5,0,0,6,1,4,1,3,4
18,GALAŢI,"COLEGIUL NAȚIONAL ”ALEXANDRU IOAN CUZA” (GRĂDINIȚA NR. 59 - FOSTA ȘCOALĂ GENERALĂ NR. 8)",52,"MUNICIPIUL GALAŢI",75098,1,PROV,PRCNCT,CL,CL_SV,"2024-06-10 06:22:00",1396,1386,2,7,1,600,592,0,7,1,588,12,1600,1000,329,34,49,7,2,15,58,3,6,1,59,1,13,1,3,7
18,GALAŢI,"COLEGIUL NAȚIONAL ”ALEXANDRU IOAN CUZA” (GRĂDINIȚA NR. 59 - FOSTA ȘCOALĂ GENERALĂ NR. 8)",53,"MUNICIPIUL GALAŢI",75098,1,PROV,PRCNCT,CL,CL_SV,"2024-06-10 10:40:31",1316,1304,3,8,1,488,479,0,8,1,473,15,1600,1112,236,25,43,4,2,23,46,1,6,3,68,3,5,2,3,3
18,GALAŢI,"COLEGIUL NAȚIONAL ”ALEXANDRU IOAN CUZA” (GRĂDINIȚA NR. 59 - FOSTA ȘCOALĂ GENERALĂ NR. 8)",51,"MUNICIPIUL GALAŢI",75098,1,PART,PRCNCT,CL,CL_SV,"2024-06-10 05:06:51",1188,1181,0,6,1,537,530,0,6,1,520,17,1200,663,253,46,37,5,0,6,65,0,3,7,72,3,17,1,2,3
