precinct_county_nce,precinct_county_name,precinct_name,precinct_nr,uat_name,uat_siruta,report_version,report_stage_code,report_type_scope_code,report_type_category_code,report_type_code,created_at,a,a1,a2,a3,a4,b,b1,b2,b3,b4,c,d,e,f,"COSTACHE AUREL-PARTIDUL SOCIAL DEMOCRAT-voturi","CĂLINESCU ALIN-MARIAN-PARTIDUL NAȚIONAL LIBERAL-voturi","CULCUŞ ARGENTINA-ELENA-ALIANȚA PENTRU UNIREA ROMÂNILOR-voturi","ŞTEFAN ROLAND-OLIVER-ALIANȚA DREAPTA UNITĂ USR - PMP - FORȚA DREPTEI-voturi","PUFU GHEORGHE-PARTIDUL UMANIST SOCIAL LIBERAL-voturi"
3,ARGEŞ,"CĂMINUL CULTURAL FĂGETU",166,"ORAŞ MIOVENI",13301,1,PART,PRCNCT,P,P_SV,"2024-06-10 02:20:56",210,205,0,5,0,141,136,0,5,0,136,1,338,200,59,53,13,2,9
3,ARGEŞ,"CASA DE CULTURĂ A SINDICATELOR DACIA",157,"ORAŞ MIOVENI",13301,1,PART,PRCNCT,P,P_SV,"2024-06-10 04:42:15",1211,1203,1,7,0,662,655,0,7,0,651,11,1400,738,330,183,62,52,24
3,ARGEŞ,"CLĂDIREA MULTIFUNCȚIONALĂ COLIBAȘI",164,"ORAŞ MIOVENI",13301,1,PART,PRCNCT,P,P_SV,"2024-06-10 06:50:27",649,643,0,6,0,392,386,0,6,0,384,8,800,408,129,80,23,17,135
3,ARGEŞ,"CLĂDIREA MULTIFUNCȚIONALĂ FĂGETU",165,"ORAŞ MIOVENI",13301,1,PART,PRCNCT,P,P_SV,"2024-06-10 06:32:06",746,739,0,7,0,489,482,0,7,0,468,21,800,311,242,148,49,9,20
3,ARGEŞ,"DISPENSAR UMAN",149,"ORAŞ MIOVENI",13301,1,PROV,PRCNCT,P,P_SV,"2024-06-10 04:56:27",1390,1383,0,7,0,689,682,0,7,0,668,21,1600,911,334,204,44,55,31
3,ARGEŞ,"FOSTUL SEDIU AL GRĂDINIȚEI ”CAMPIONII” DIN BLOCUL T2A",159,"ORAŞ MIOVENI",13301,1,PART,PRCNCT,P,P_SV,"2024-06-10 03:31:08",1224,1217,0,7,0,601,594,0,7,0,592,9,1300,699,290,206,30,53,13
3,ARGEŞ,"FOSTUL SEDIU AL GRĂDINIȚEI DIN BLOCUL M6",147,"ORAŞ MIOVENI",13301,1,PROV,PRCNCT,P,P_SV,"2024-06-10 07:23:37",1615,1609,0,6,0,747,741,0,6,0,729,12,1700,953,390,227,44,57,11
3,ARGEŞ,"FOSTUL SEDIU AL GRĂDINIȚEI DIN BLOCUL T6",158,"ORAŞ MIOVENI",13301,1,PART,PRCNCT,P,P_SV,"2024-06-10 04:28:38",1458,1448,2,8,0,746,738,0,8,0,727,19,1600,854,274,308,36,76,33
3,ARGEŞ,"FOSTUL SEDIU AL ȘCOLII CLUCEREASA",162,"ORAŞ MIOVENI",13301,1,PART,PRCNCT,P,P_SV,"2024-06-10 03:25:29",212,201,2,9,0,210,201,0,9,0,204,6,450,240,151,36,10,3,4
3,ARGEŞ,"FOSTUL SEDIU AL ȘCOLII RACOVIȚA DE SUS",168,"ORAŞ MIOVENI",13301,1,PART,PRCNCT,P,P_SV,"2024-06-10 03:30:51",680,677,0,3,0,408,405,0,3,0,398,10,800,392,224,128,13,27,6
