precinct_county_nce,precinct_county_name,precinct_name,precinct_nr,uat_name,uat_siruta,report_version,report_stage_code,report_type_scope_code,report_type_category_code,report_type_code,created_at,a,a1,a2,a3,a4,b,b1,b2,b3,b4,c,d,e,f,"MALIŢA IOAN-PARTIDUL SOCIAL DEMOCRAT-voturi","MĂLĂNCAŞ ABEL-PARTIDUL NAȚIONAL LIBERAL-voturi"
2,ARAD,"FOSTA ŞCOALA PRIMARĂ CĂLUGĂRENI",266,FELNAC,10827,1,PART,PRCNCT,P,P_SV,"2024-06-10 02:27:08",266,258,1,4,3,162,155,0,4,3,156,6,286,124,149,7
2,ARAD,"ȘCOALA GIMNAZIALĂ „AUREL SEBEȘAN” FELNAC",264,FELNAC,10827,1,PART,PRCNCT,P,P_SV,"2024-06-10 11:01:35",1020,986,3,4,27,557,525,1,4,27,540,17,1120,563,510,30
2,ARAD,"ȘCOALA GIMNAZIALĂ „AUREL SEBEȘAN” FELNAC - SALA DE SPORT",265,FELNAC,10827,1,PROV,PRCNCT,P,P_SV,"2024-06-10 07:21:02",1291,1262,1,2,26,728,700,0,2,26,705,22,1410,682,658,47
