precinct_county_nce,precinct_county_name,precinct_name,precinct_nr,uat_name,uat_siruta,report_version,report_stage_code,report_type_scope_code,report_type_category_code,report_type_code,created_at,a,a1,a2,a3,a4,b,b1,b2,b3,b4,c,d,e,f,"CĂLINCAN CĂTĂLIN-RAREŞ-ALIANȚA PENTRU UNIREA ROMÂNILOR-voturi","RUS SIMION-CASIAN-PARTIDUL NAȚIONAL LIBERAL-voturi","RETEGAN SIMION-PARTIDUL SOCIAL DEMOCRAT-voturi","RUS HORAŢIU-EMANUEL-ALIANȚA DREAPTA UNITĂ USR - PMP - FORȚA DREPTEI-voturi"
13,CLUJ,"CĂMINUL CULTURAL",437,CUZDRIOARA,55062,1,PROV,PRCNCT,P,P_SV,"2024-06-10 05:08:26",754,744,3,5,2,346,339,0,5,2,330,16,826,480,149,117,32,32
13,CLUJ,"CENTRUL MULTIFUNCȚIONAL CUZDRIOARA",435,CUZDRIOARA,55062,1,PART,PRCNCT,P,P_SV,"2024-06-10 05:27:02",887,884,0,1,2,459,456,0,1,2,441,18,961,502,30,248,116,47
13,CLUJ,"CENTRUL MULTIFUNCȚIONAL CUZDRIOARA",436,CUZDRIOARA,55062,1,PART,PRCNCT,P,P_SV,"2024-06-10 04:47:37",857,850,1,4,2,430,424,0,4,2,418,12,936,506,33,269,92,24
