precinct_county_nce,precinct_county_name,precinct_name,precinct_nr,uat_name,uat_siruta,report_version,report_stage_code,report_type_scope_code,report_type_category_code,report_type_code,created_at,a,a1,a2,a3,a4,b,b1,b2,b3,b4,c,d,e,f,"PARTIDUL SOCIAL DEMOCRAT-voturi","PARTIDUL NAȚIONAL LIBERAL-voturi","UNIUNEA DEMOCRATĂ MAGHIARĂ DIN ROMÂNIA-voturi","ALIANȚA PENTRU UNIREA ROMÂNILOR-voturi","PARTIDUL OAMENILOR TINERI-voturi"
1,ALBA,"CĂMIN CULTURAL",225,"CETATEA DE BALTĂ",3958,1,PART,PRCNCT,CL,CL_SV,"2024-06-10 02:03:50",590,574,0,4,12,247,231,0,4,12,230,17,649,402,33,138,12,22,25
1,ALBA,"CĂMIN CULTURAL",226,"CETATEA DE BALTĂ",3958,1,PART,PRCNCT,CL,CL_SV,"2024-06-10 04:15:06",870,829,1,8,32,503,463,0,8,32,484,19,968,465,37,210,110,62,65
1,ALBA,"SCOALA GENERALA CRĂCIUNELU DE SUS",227,"CETATEA DE BALTĂ",3958,1,PROV,PRCNCT,CL,CL_SV,"2024-06-10 02:44:30",58,45,0,9,4,46,33,0,9,4,45,1,54,8,2,38,1,1,3
1,ALBA,"SCOALA GENERALA SÎNTĂMĂRIE",228,"CETATEA DE BALTĂ",3958,1,PART,PRCNCT,CL,CL_SV,"2024-06-10 02:34:52",240,227,0,7,6,129,116,0,7,6,122,7,262,133,7,70,33,9,3
1,ALBA,"ȘCOALA GIMNAZIALĂ TĂTÂRLAUA",229,"CETATEA DE BALTĂ",3958,1,PART,PRCNCT,CL,CL_SV,"2024-06-10 02:33:33",642,635,0,6,1,230,223,0,6,1,217,13,700,470,11,176,1,27,2
