precinct_county_nce,precinct_county_name,precinct_name,precinct_nr,uat_name,uat_siruta,report_version,report_stage_code,report_type_scope_code,report_type_category_code,report_type_code,created_at,a,a1,a2,a3,a4,b,b1,b2,b3,b4,c,d,e,f,"CIUBOTARIU CONSTANTIN-PARTIDUL NAȚIONAL LIBERAL-voturi","BURDEA BOGDAN-GABRIEL-UNIUNEA SALVAȚI ROMÂNIA-voturi","TEODORESCU DUMITRU-LIVIU-PARTIDUL SOCIAL DEMOCRAT-voturi"
24,IAŞI,"CĂMIN CULTURAL TABĂRA",355,BIVOLARI,95943,1,PART,PRCNCT,P,P_SV,"2024-06-10 02:14:49",852,846,0,6,0,333,327,0,6,0,316,17,900,567,105,30,181
24,IAŞI,"GRADINIȚA CU PROGRAM SCURT TRAIAN",356,BIVOLARI,95943,1,PART,PRCNCT,P,P_SV,"2024-06-10 00:44:34",189,180,0,9,0,93,84,0,9,0,89,4,200,107,40,8,41
24,IAŞI,"ŞCOALA CU CLASELE I - IV SOLONEŢ",354,BIVOLARI,95943,1,PART,PRCNCT,P,P_SV,"2024-06-10 01:23:44",439,434,0,5,0,192,187,0,5,0,184,8,500,308,49,29,106
24,IAŞI,"ȘCOALA GIMNAZIALĂ BIVOLARI CORP A",352,BIVOLARI,95943,1,PART,PRCNCT,P,P_SV,"2024-06-10 07:58:14",883,876,0,0,7,416,409,0,0,7,398,18,1000,584,118,50,230
24,IAŞI,"ȘCOALA GIMNAZIALĂ BIVOLARI CORP A",353,BIVOLARI,95943,1,PART,PRCNCT,P,P_SV,"2024-06-10 03:23:13",916,904,0,1,11,381,369,0,1,11,364,17,1000,619,125,43,196
