precinct_county_nce,precinct_county_name,precinct_name,precinct_nr,uat_name,uat_siruta,report_version,report_stage_code,report_type_scope_code,report_type_category_code,report_type_code,created_at,a,a1,a2,a3,a4,b,b1,b2,b3,b4,c,d,e,f,"CĂŢĂNAŞ BOGDAN-MIHĂIŢĂ-ALIANȚA PENTRU UNIREA ROMÂNILOR-voturi","GORGAN DORIN-IOAN-PARTIDUL SOCIAL DEMOCRAT-voturi","MORAVIŢ MUGUREL-PARTIDUL NAȚIONAL LIBERAL-voturi","GORGAN VASILE-MARIUS-UNIUNEA SALVAȚI ROMÂNIA-voturi"
33,SĂLAJ,"GRĂDINIȚA BOBOTA",89,BOBOTA,140280,1,PART,PRCNCT,P,P_SV,"2024-06-10 06:53:03",1202,1149,2,26,25,754,703,0,26,25,741,13,1250,496,101,226,331,83
33,SĂLAJ,"ȘCOALA DERȘIDA",90,BOBOTA,140280,1,PART,PRCNCT,P,P_SV,"2024-06-10 10:05:12",1468,1427,1,24,16,834,794,0,24,16,801,33,1570,736,15,343,230,213
33,SĂLAJ,"ȘCOALA ZALNOC",91,BOBOTA,140280,1,PART,PRCNCT,P,P_SV,"2024-06-10 03:48:35",387,365,0,11,11,219,197,0,11,11,210,9,410,191,9,56,100,45
