precinct_county_nce,precinct_county_name,precinct_name,precinct_nr,uat_name,uat_siruta,report_version,report_stage_code,report_type_scope_code,report_type_category_code,report_type_code,created_at,a,a1,a2,a3,a4,b,b1,b2,b3,b4,c,d,e,f,"PARTIDUL SOCIAL DEMOCRAT-voturi","UNIUNEA SALVAȚI ROMÂNIA-voturi","ALIANȚA PENTRU UNIREA ROMÂNILOR-voturi","PARTIDUL NAȚIONAL LIBERAL-voturi"
39,VASLUI,"CAMINUL CULTURAL",190,BANCA,162194,1,PART,PRCNCT,CL,CL_SV,"2024-06-10 02:19:40",311,307,0,2,2,170,166,0,2,2,168,2,400,230,94,20,6,48
39,VASLUI,"CĂMINUL CULTURAL DIN SAT ȚIFU",193,BANCA,162194,1,PART,PRCNCT,CL,CL_SV,"2024-06-10 01:34:20",293,283,0,7,3,201,191,0,7,3,189,12,300,99,122,7,7,53
39,VASLUI,"GRĂDINIȚA MITOC",189,BANCA,162194,1,PART,PRCNCT,CL,CL_SV,"2024-06-10 01:58:08",333,327,0,3,3,182,176,0,3,3,174,8,350,168,83,3,7,81
39,VASLUI,"GRĂDINIŢA STRÂMTURA-MITOC",192,BANCA,162194,1,PART,PRCNCT,CL,CL_SV,"2024-06-10 02:03:53",185,180,0,5,0,111,106,0,5,0,110,1,200,89,45,10,4,51
39,VASLUI,"ŞCOALA GIMNAZIALĂ BANCA",186,BANCA,162194,1,PART,PRCNCT,CL,CL_SV,"2024-06-10 05:40:32",820,797,0,14,9,506,483,0,14,9,454,39,860,367,233,60,5,156
39,VASLUI,"ŞCOALA GIMNAZIALĂ NR. 1 GARA BANCA",184,BANCA,162194,1,PART,PRCNCT,CL,CL_SV,"2024-06-10 05:14:43",1143,1122,1,14,6,701,681,0,14,6,664,35,1200,501,262,88,32,282
39,VASLUI,"ŞCOALA PRIMARĂ 1 DECEMBRIE",185,BANCA,162194,1,PART,PRCNCT,CL,CL_SV,"2024-06-10 03:42:17",333,322,0,10,1,219,208,0,10,1,210,9,350,131,96,28,3,83
39,VASLUI,"ŞCOALA PRIMARĂ GHERMĂNEŞTI",187,BANCA,162194,1,PROV,PRCNCT,CL,CL_SV,"2024-06-10 02:44:08",371,365,0,3,3,206,200,0,3,3,191,15,392,186,95,6,4,86
39,VASLUI,"ŞCOALA PRIMARA MICLEȘTI",188,BANCA,162194,1,PART,PRCNCT,CL,CL_SV,"2024-06-10 01:57:15",183,177,0,6,0,109,103,0,6,0,103,6,200,91,68,5,2,28
39,VASLUI,"ŞCOALA PRIMARĂ STOIŞEŞTI",191,BANCA,162194,1,PART,PRCNCT,CL,CL_SV,"2024-06-10 03:55:50",470,450,0,10,10,296,276,0,10,10,280,16,500,204,115,48,10,107
