precinct_county_nce,precinct_county_name,precinct_name,precinct_nr,uat_name,uat_siruta,report_version,report_stage_code,report_type_scope_code,report_type_category_code,report_type_code,created_at,a,a1,a2,a3,a4,b,b1,b2,b3,b4,c,d,e,f,"PARTIDUL SOCIAL DEMOCRAT-voturi","PARTIDUL NAȚIONAL LIBERAL-voturi","PARTIDUL MIȘCAREA POPULARĂ-voturi"
31,PRAHOVA,"CĂMIN CULTURAL LOLOIASCA, SAT LOLOIASCA, NR. 6V",595,TOMŞANI,135896,2,PART,PRCNCT,CL,CL_SV,"2024-06-10 09:49:53",1213,1196,1,5,11,671,654,1,5,11,648,23,1300,629,538,79,31
31,PRAHOVA,"ŞCOALA GIMNAZIALĂ ”PROF.DINU MIHAIL-DAN” SAT MAGULA, COMUNA TOMŞANI, JUDEŢUL PRAHOVA",596,TOMŞANI,135896,3,PART,PRCNCT,CL,CL_SV,"2024-06-10 11:13:59",1320,1309,2,4,5,836,827,0,4,5,804,32,1300,464,637,122,45
31,PRAHOVA,"ṢCOALA VECHE MAGULA, SAT MAGULA, NR. 406A",597,TOMŞANI,135896,1,PART,PRCNCT,CL,CL_SV,"2024-06-10 06:13:12",1013,987,1,3,22,646,620,1,3,22,621,25,1044,398,484,109,28
