precinct_county_nce,precinct_county_name,precinct_name,precinct_nr,uat_name,uat_siruta,report_version,report_stage_code,report_type_scope_code,report_type_category_code,report_type_code,created_at,a,a1,a2,a3,a4,b,b1,b2,b3,b4,c,d,e,f,"IVAN ILIE-MARIUS-PARTIDUL NAȚIONAL LIBERAL-voturi","BONDRESCU CRISTIAN-PARTIDUL SOCIAL DEMOCRAT-voturi","MORARU COSTEL-ALIANȚA PENTRU UNIREA ROMÂNILOR-voturi"
30,OLT,"SCOALA DOBRUN",189,DOBRUN,126825,1,PROV,PRCNCT,P,P_SV,"2024-06-10 02:12:44",576,552,0,6,18,367,343,0,6,18,361,6,605,238,11,340,10
30,OLT,"ȘCOALA ROȘIENII MARI",190,DOBRUN,126825,1,PART,PRCNCT,P,P_SV,"2024-06-10 01:52:24",613,595,0,3,15,407,389,0,3,15,400,7,654,247,37,328,35
