precinct_county_nce,precinct_county_name,precinct_name,precinct_nr,uat_name,uat_siruta,report_version,report_stage_code,report_type_scope_code,report_type_category_code,report_type_code,created_at,a,a1,a2,a3,a4,b,b1,b2,b3,b4,c,d,e,f,"PARTIDUL NAȚIONAL LIBERAL-voturi","PARTIDUL SOCIAL DEMOCRAT-voturi","UNIUNEA SALVAȚI ROMÂNIA-voturi","ALIANȚA PENTRU UNIREA ROMÂNILOR-voturi","PARTIDUL MIȘCAREA ROMÂNIA SUVERANĂ-voturi","PARTIDUL MIȘCAREA POPULARĂ-voturi"
26,MARAMUREŞ,"CĂMINUL CULTURAL",154,"ORAŞ DRAGOMIREŞTI",108017,1,PART,PRCNCT,CL,CL_SV,"2024-06-10 07:00:48",1354,1283,2,27,42,747,678,0,27,42,701,32,1382,635,175,356,38,43,40,49
26,MARAMUREŞ,"SALA DE SPORT",153,"ORAŞ DRAGOMIREŞTI",108017,1,PART,PRCNCT,CL,CL_SV,"2024-06-10 11:44:58",1282,1225,0,17,40,687,630,0,17,40,651,36,1381,694,161,319,51,58,39,23
